#NAME?	＃名前？
(1) (Japanese) maple	(1) (モミジ)
(1) aunt; (2) middle-aged lady	(1) 叔母。 (2) 中年女性
(1) chapter; section; (2) medal	(1) 章。セクション; (2)メダル
(1) coincidence; agreement; (2) conformity	(1) 偶然。合意; (2)適合性
(1) complete; completion; (2) perfection; accomplishment	(1) 完了。完了; (2) 完璧。達成
(1) connection; union; join; link; (2) changing trains	(1)接続。連合;参加する;リンク; (2) 乗り換え
(1) dear; beloved; darling; (2) yearned for	(1) 親愛なる;愛する人;ダーリン; (2) 憧れていた
(1) defect; demerit; weak point; (2) disadvantage	(1) 欠陥。デメリット;弱点; (2) デメリット
(1) draft (beer); (2) raw; unprocessed	(1) ドラフト（ビール）。 (2) 生のもの。未加工
(1) farm (livestock); (2) pasture land; meadow; grazing land	(1) 農場（家畜）。 (2) 牧草地。草原;放牧地
(1) flower arrangement	(1)フラワーアレンジメント
(1) gold; (2) gold general (shogi) (abbr)	(1) 金。 (2) 金将（将棋）（略称）
(1) horse; (2) promoted bishop (shogi)	(1) 馬。 (2) 昇進ビショップ（将棋）
(1) idea; notion; conception; (2) sense (e.g. of duty)	(1) アイデア。概念;概念; (2) 感覚（義務感など）
(1) left and right; (2) influence; control; domination	(1) 左右。 (2) 影響力。コントロール;支配
(1) line; procession; (2) matrix (math)	(1)行。行列; (2) マトリックス（数学）
(1) mark; (2) symbol; (3) evidence	(1) マーク。 (2) 記号。 (3) 証拠
(1) mouse; rat; (2) dark gray; slate color	(1) マウス。ねずみ; (2) ダークグレー。スレートカラー
(1) on the other hand; (2) meanwhile; (3) only; simple; in turn	(1) 一方、 (2)その間; (3)のみ。単純;順番に
(1) one day; (2) first of month	(1) ある日。 (2) 月の初め
(1) one object; one body; (2) what on earth?; really?; (3) generally	(1) 1 つのオブジェクト。一つの体。 (2) いったい何ですか？本当に？; (3) 一般的に
(1) order; precedence; (2) circumstances; (3) immediate(ly)	(1) 命令。優先順位; (2) 状況。 (3) 即時(ly)
(1) organization; (2) structure; construction; (3) tissue; (4) system	(1) 組織。 (2) 構造。工事; (3) 組織。 (4) システム
(1) origin; original; (2) former	(1) 起源。オリジナル; (2)前者
(1) pine tree; (2) highest (of a three-tier ranking system)	(1) 松の木。 (2) (3段階のランキングシステムの中で)最高位
(1) player (in game); (2) team	(1) プレイヤー (ゲーム内)。 (2)チーム
(1) remodeling; (2) modding (comp)	(1) 改造。 (2)改造(コンプ)
(1) request; commission; dispatch; (2) dependence; trust	(1) リクエスト。手数料;急送; (2) 依存性。信頼
(1) seed; (2) material; (3) cause; source	(1) 種子。 (2) 材質。 （3）原因。ソース
(1) service; duty; (2) Buddhist religious services	(1) サービス。義務; (2) 仏事法要
(1) service; duty; business; responsibility; task; (2) Buddhist religious services	(1) サービス。義務;仕事;責任;タスク; (2) 仏事法要
(1) silver; silver coin; silver paint	(1) 銀。銀貨;シルバーペイント
(1) string; cord; (2) pimp	(1) 文字列。コード; (2)ポン引き
(1) strong point; merit; (2) advantage	(1) 強み。メリット; (2) メリット
(1) time; hour; (2) occasion; moment	(1) 時間。時間; (2) 機会。瞬間
(1) to adopt (measure; proposal); (2) to pick (fruit)	(1) (措置、提案) を採択する。 (2) (果物を) 摘み取る
(1) to appear; to attend (2) to exit	(1) 現れること。出席する (2) 退席する
(1) to appear; to come in sight; to become visible; (2) to express oneself	(1) 現れること。視界に入る。見えるようになる。 (2) 自分を表現する
(1) to attach; to join; to add; to append	(1)添付する。参加する;追加する;追加する
(1) to avoid (physical contact ); (2) to ward off; to avert	(1) (物理的接触) を避けること。 (2) 避けること。回避する
(1) to be finished; to be ready; by definition; (2) to be very drunk	(1) 完了すること。準備ができていること。定義上; (2) ひどく酔う
(1) to be fixed; (2) to abide; to stay (in the one place)	(1) 修正されること。 (2) 遵守すること。 （一か所に）留まる
(1) to breathe; (2) to tell (lies); (3) to vomit; to disgorge	(1) 呼吸すること。 (2) (嘘を) 言うこと。 (3) 嘔吐する。吐き出す
(1) to comprise; to account for; to make up (of); (2) to hold; to occupy	(1) 含むこと。説明する; （の）を補う。 (2) 保持する。占領する
(1) to cut well; to be sharp; (2) to break (off)	(1) よく切ること。鋭敏であること。 (2) 壊す(切る)
(1) to date (someone) (2) to keep company	(1) (誰か) とデートする (2) 付き合い続ける
