வணக்கம் நண்பரே	Hello friend
அனைவருக்கும் வணக்கம்	Hello to everyone
உங்களுக்கு வணக்கம்	Hi to you
காலை வணக்கம் அம்மா	Good morning mother
காலை வணக்கம் ஐயா	Good morning sir
நல்ல மதியம் நண்பர்களே	Good afternoon friends
உங்களுக்கு நல்ல மதியம்	Good afternoon to you
நல்ல மாலை வணக்கம்	Good evening greeting
உங்களுக்கு நல்ல மாலை	Good afternoon to you
நல்ல இரவு நண்பரே	Good night friend
அனைவருக்கும் நல்ல இரவு	Good night to all
இப்போது விடைபெறுகிறேன்	I am saying goodbye now
நான் விடைபெறுகிறேன்	I am saying goodbye
உங்களை சந்தித்ததில் மகிழ்ச்சி நண்பரே	Nice to meet you friend
உங்களை சந்தித்ததில் மகிழ்ச்சி ஐயா	Nice to meet you sir
நீங்கள் எப்படி இருக்கிறீர்கள்	How are you
அம்மா எப்படி இருக்கிறீர்கள்	Mother how are you
தயவுசெய்து இங்கே வாருங்கள்	Please come here
தயவுசெய்து உதவி செய்யுங்கள்	Please help
உங்களுக்கு நன்றி	Thank you to you
அனைவருக்கும் நன்றி	Thank you to all
உங்களுக்கு மிக்க நன்றி	Thank you very much to you
உதவிக்கு மிக்க நன்றி	Thank you very much for the help
நீங்கள் வரவேற்கப்படுகிறீர்கள் நண்பரே	You are welcome friend
என்னை மன்னிக்கவும் ஐயா	Sorry sir
மன்னிக்கவும் நான் வரவில்லை	Sorry I did not come
மன்னிக்கவும் ஒரு நிமிடம்	Excuse me one minute
மன்னிக்கவும் வழி விடுங்கள்	Excuse me give way
உங்களை வரவேற்கிறேன்	I welcome you
வீட்டிற்கு வரவேற்கிறேன்	Welcome to the house
ஆம் அவர் இங்கே இருக்கிறார்	Yes he is here
ஆம் இது சரி	Yes this is correct
இல்லை அது தவறு	No that is wrong
இல்லை நான் வரவில்லை	No I did not come
சரி நாம் செல்வோம்	Okay let us go
சரி நான் செய்கிறேன்	Okay I will do it
ஒருவேளை அவர் வருவார்	Maybe he will come
ஒருவேளை நாளை மழை வரும்	Maybe it will rain tomorrow
உங்கள் பெயர் என்ன	What is your name
என் பெயர் ரவி	My name is Ravi
அவர் ஒரு நல்ல நபர்	He is a good person
அந்த நபர் யார்	Who is that person
இங்கு மக்கள் அதிகம்	There are many people here
நல்ல மக்கள் அவசியம்	Good people are necessary
அந்த மனிதன் வலிமையானவன்	That man is strong
ஒரு மனிதன் வந்தான்	A man came
சிறிய சிறுவன் ஓடினான்	Small boy ran
அந்த சிறுவன் என் தம்பி	That boy is my brother
அந்த பெண் என் சகோதரி	That girl is my sister
சிறிய பெண் சிரித்தாள்	Small girl smiled
திருமதி லதா வந்தார்கள்	Mrs Latha came
திருமதி ரம்யா இங்கே இருக்கிறார்கள்	Mrs Ramya is here
மிஸ் சாரு வகுப்பிற்கு வந்தார்	Miss Saru came to class
மிஸ் பிரியா பேசினார்	Miss Priya spoke
வணக்கம் ஐயா	Hello sir
ஐயா எனக்கு உதவி செய்யுங்கள்	Sir please help me
வணக்கம் மேடம்	Hello madam
மேடம் நான் வந்துவிட்டேன்	Madam I have arrived
என் அன்பே வா	My dear come
அன்பே கவனிக்கவும்	Dear please notice
பிறகு பார்க்கலாம் நண்பரே	See you later friend
நாளை பிறகு பார்க்கலாம்	See you later tomorrow
ஒரு நல்ல நாள் வாழ்த்துக்கள்	Have a nice day wishes
உங்களுக்கு ஒரு நல்ல நாள்	A nice day to you
மீண்டும் விடைபெறுகிறேன்	Goodbye again
கவனித்துக்கொள் நண்பரே	Take care friend
