#NAME?	#NAME؟
(1) (Japanese) maple	(1) (جاپانی) میپل
(1) aunt; (2) middle-aged lady	(1) خالہ (2) ادھیڑ عمر کی عورت
(1) chapter; section; (2) medal	(1) باب؛ سیکشن (2) تمغہ
(1) coincidence; agreement; (2) conformity	(1) اتفاق؛ معاہدہ (2) مطابقت
(1) complete; completion; (2) perfection; accomplishment	(1) مکمل؛ تکمیل (2) کمال؛ کامیابی
(1) connection; union; join; link; (2) changing trains	(1) کنکشن؛ اتحاد شامل ہونا لنک (2) ٹرینوں کو تبدیل کرنا
(1) dear; beloved; darling; (2) yearned for	(1) عزیز؛ محبوب پیاری (2) کی تڑپ
(1) defect; demerit; weak point; (2) disadvantage	(1) عیب خرابی کمزور نقطہ؛ (2) نقصان
(1) draft (beer); (2) raw; unprocessed	(1) مسودہ (بیئر)؛ (2) خام؛ غیر عمل شدہ
(1) farm (livestock); (2) pasture land; meadow; grazing land	(1) فارم (مویشی)؛ (2) چراگاہ کی زمین؛ گھاس کا میدان چرنے کی زمین
(1) flower arrangement	(1) پھولوں کی ترتیب
(1) gold; (2) gold general (shogi) (abbr)	(1) سونا؛ (2) گولڈ جنرل (شوگی) (abbr)
(1) horse; (2) promoted bishop (shogi)	(1) گھوڑا (2) ترقی یافتہ بشپ (شوگی)
(1) idea; notion; conception; (2) sense (e.g. of duty)	(1) خیال؛ تصور تصور (2) احساس (مثلاً فرض)
(1) left and right; (2) influence; control; domination	(1) بائیں اور دائیں؛ (2) اثر و رسوخ؛ کنٹرول تسلط
(1) line; procession; (2) matrix (math)	(1) لائن؛ جلوس (2) میٹرکس (ریاضی)
(1) mark; (2) symbol; (3) evidence	(1) نشان (2) علامت؛ (3) ثبوت
(1) mouse; rat; (2) dark gray; slate color	(1) چوہا؛ چوہا (2) گہرا بھوری رنگ؛ سلیٹ کا رنگ
(1) on the other hand; (2) meanwhile; (3) only; simple; in turn	(1) دوسری طرف؛ (2) اس دوران؛ (3) صرف؛ سادہ بدلے میں
(1) one day; (2) first of month	(1) ایک دن؛ (2) مہینے کا پہلا
(1) one object; one body; (2) what on earth?; really?; (3) generally	(1) ایک چیز؛ ایک جسم؛ (2) زمین پر کیا؟ واقعی؟ (3) عام طور پر
(1) order; precedence; (2) circumstances; (3) immediate(ly)	(1) حکم؛ ترجیح (2) حالات؛ (3) فوری طور پر
(1) organization; (2) structure; construction; (3) tissue; (4) system	(1) تنظیم؛ (2) ساخت؛ تعمیر (3) ٹشو؛ (4) نظام
(1) origin; original; (2) former	(1) اصل اصل (2) سابقہ
(1) pine tree; (2) highest (of a three-tier ranking system)	(1) دیودار کا درخت (2) سب سے زیادہ (تین درجے کی درجہ بندی کے نظام کا)
(1) player (in game); (2) team	(1) کھلاڑی (کھیل میں)؛ (2) ٹیم
(1) remodeling; (2) modding (comp)	(1) دوبارہ تشکیل دینا؛ (2) ترمیم (comp)
(1) request; commission; dispatch; (2) dependence; trust	(1) درخواست؛ کمیشن بھیجنا (2) انحصار؛ اعتماد
(1) seed; (2) material; (3) cause; source	(1) بیج؛ (2) مواد؛ (3) وجہ؛ ذریعہ
(1) service; duty; (2) Buddhist religious services	(1) خدمت؛ ڈیوٹی (2) بدھ مت کی مذہبی خدمات
(1) service; duty; business; responsibility; task; (2) Buddhist religious services	(1) خدمت؛ ڈیوٹی کاروبار؛ ذمہ داری؛ کام (2) بدھ مت کی مذہبی خدمات
(1) silver; silver coin; silver paint	(1) چاندی چاندی کا سکہ؛ سلور پینٹ
(1) string; cord; (2) pimp	(1) تار؛ ہڈی (2) دلال
(1) strong point; merit; (2) advantage	(1) مضبوط نقطہ؛ میرٹ (2) فائدہ
(1) time; hour; (2) occasion; moment	(1) وقت؛ گھنٹہ (2) موقع؛ لمحہ
(1) to adopt (measure; proposal); (2) to pick (fruit)	(1) اپنانا (پیمانہ؛ تجویز)؛ (2) چننا (پھل)
(1) to appear; to attend (2) to exit	(1) ظاہر ہونا؛ شرکت کرنا (2) باہر نکلنا
(1) to appear; to come in sight; to become visible; (2) to express oneself	(1) ظاہر ہونا؛ نظر میں آنا ظاہر ہونا؛ (2) اظہار خیال کرنا
(1) to attach; to join; to add; to append	(1) منسلک کرنا؛ شامل ہونا؛ شامل کرنے کے لئے؛ شامل کرنے کے لئے
(1) to avoid (physical contact ); (2) to ward off; to avert	(1) سے بچنا (جسمانی رابطہ)؛ (2) روکنا؛ ٹالنا
(1) to be finished; to be ready; by definition; (2) to be very drunk	(1) ختم ہونا؛ تیار رہنا؛ تعریف کی طرف سے؛ (2) بہت نشے میں ہونا
(1) to be fixed; (2) to abide; to stay (in the one place)	(1) طے کرنا؛ (2) پابند رہنا؛ ٹھہرنا (ایک جگہ)
(1) to breathe; (2) to tell (lies); (3) to vomit; to disgorge	(1) سانس لینا؛ (2) جھوٹ بولنا؛ (3) قے کرنا؛ منحرف کرنا
(1) to comprise; to account for; to make up (of); (2) to hold; to occupy	(1) پر مشتمل ہونا؛ حساب کرنا قضاء کرنا (2) رکھنا؛ قبضہ کرنے کے لئے
(1) to cut well; to be sharp; (2) to break (off)	(1) اچھی طرح کاٹنا؛ تیز ہونا؛ (2) توڑنا
(1) to date (someone) (2) to keep company	(1) آج تک (کسی کو) (2) صحبت رکھنا
(1) to disgrace; to dishonour; (2) to pollute; to contaminate; to soil; to make dirty; to stain	(1) رسوا کرنا؛ بے عزتی کرنا (2) آلودہ کرنا؛ آلودہ کرنا؛ مٹی کو؛ گندا کرنا؛ داغ لگانا
(1) to draw (water); to dip; to scoop; to pump	(1) پانی کھینچنا؛ ڈوبنا؛ سکوپ کرنا پمپ کرنے کے لئے
(1) to drive; to pass through; (2) to evade; to hide; (3) to dive (into or under water); to go undergroun	(1) گاڑی چلانا؛ سے گزرنا؛ (2) بچنا؛ چھپانے کے لئے (3) غوطہ لگانا (پانی میں یا نیچے)؛ زیر زمین جانا
