Schön dich kennenzulernen, Max!	Nice to meet you, Max!
Schön dich kennenzulernen, Anna!	Nice to meet you, Anna!
Hallo, Fräulein Schmidt!	Hello, Miss Schmidt!
Wo ist das Fräulein?	Where is the miss?
Ich wünsche dir einen schönen Tag!	I wish you a nice day!
Ich wünsche dir einen schönen Tag, Tim!	I wish you a nice day, Tim!
Ich bin sechzehn Jahre alt.	I am sixteen years old.
Es kostet sechzehn Euro.	It costs sixteen euros.
Ich habe einundzwanzig Bücher.	I have twenty-one books.
Sie ist einundzwanzig Jahre alt.	She is twenty-one years old.
Das kostet neunzig Cent.	That costs ninety cents.
Er ist neunzig Jahre alt.	He is ninety years old.
Das kostet ein Tausend Euro.	That costs one thousand euros.
Ich sehe ein Tausend Sterne.	I see a thousand stars.
Das ist zweitens wichtig.	That is secondly important.
Zweitens ist es zu teuer.	Secondly, it is too expensive.
Er ist der Dritter Gast.	He is the third guest.
Das ist der Dritter Tag.	That is the third day.
Das ist der Vierter Stock.	That is the fourth floor.
Er ist der Vierter Läufer.	He is the fourth runner.
Der Fünfter Tag ist heute.	The fifth day is today.
Das ist der Fünfter Monat.	That is the fifth month.
Das ist der Sechster Platz.	That is the sixth place.
Er ist der Sechster Schüler.	He is the sixth student.
Ich bin der siebter Gast.	I am the seventh guest.
Das ist der siebter Tag.	That is the seventh day.
Das ist der Achter Platz.	That is the eighth place.
Er ist der Achter Mann.	He is the eighth man.
Das ist der neunter Tag.	That is the ninth day.
Sie ist die neunter Person.	She is the ninth person.
Das ist ein Zehntel davon.	That is a tenth of it.
Ich nehme ein Zehntel.	I take a tenth.
Am Nachmittag trinke ich Tee.	In the afternoon I drink tea.
Der Nachmittag ist sehr warm.	The afternoon is very warm.
Zweitens ist das Auto rot.	Secondly, the car is red.
Zweitens kommen wir nach Hause.	Secondly, we come home.
Die Saison beginnt im Mai.	The season begins in May.
Es ist eine schöne Saison.	It is a beautiful season.
Dienstag ist ein guter Tag.	Tuesday is a good day.
Wir treffen uns am Dienstag.	We are meeting on Tuesday.
Meine Großmutter ist sehr alt.	My grandmother is very old.
Ich liebe meine Großmutter.	I love my grandmother.
Meine Großeltern wohnen in Berlin.	My grandparents live in Berlin.
Besuchen wir die Großeltern?	Are we visiting the grandparents?
Sie ist eine liebe Enkelin.	She is a dear granddaughter.
Die Enkelin spielt im Garten.	The granddaughter is playing in the garden.
Er ist mein bester Freund.	He is my best friend.
Mein bester Freund heißt Max.	My best friend is named Max.
Das ist relativ einfach.	That is relatively easy.
Der Weg ist relativ kurz.	The path is relatively short.
Hast du viele Geschwister?	Do you have many siblings?
Meine Geschwister sind jung.	My siblings are young.
Die Mango ist süß.	The mango is sweet.
Ich esse eine Mango.	I am eating a mango.
Die Mahlzeit war gut.	The meal was good.
Das ist eine leichte Mahlzeit.	That is a light meal.
Mein Kinn ist klein.	My chin is small.
Das Kinn tut weh.	The chin hurts.
Mein Ellenbogen ist rot.	My elbow is red.
Wo ist dein Ellenbogen?	Where is your elbow?
Mein Knöchel ist blau.	My ankle is blue.
Das ist ein kleiner Knöchel.	That is a small ankle.
Der Knochen ist hart.	The bone is hard.
Ein Knochen ist hier.	A bone is here.
Das Schlafzimmer ist sehr groß.	The bedroom is very large.
Wo ist dein Schlafzimmer?	Where is your bedroom?
Die Treppen sind alt.	The stairs are old.
Ich gehe die Treppen hoch.	I go up the stairs.
Das Kissen ist weich.	The pillow is soft.
Ich habe ein Kissen.	I have a pillow.
Der Kleiderschrank ist voll.	The wardrobe is full.
Hier ist der Kleiderschrank.	Here is the wardrobe.
