যা।	Go.
যাও।	Go.
যান।	Go.
কে?	Who?
বাহ!	Wow!
থাম!	Stop!
পালাও!	Run!
পালান!	Run!
আগুন!	Fire!
থামো!	Stop!
থামুন!	Stop!
ওঠো।	Get up.
শোন।	Listen.
বাঁচাও!	Help!
বাঁচান!	Help!
উঠুন।	Get up.
আমি।	It's me.
কী?	Say what?
বস!	Sit down!
বস।	Sit down.
হ্যালো!	Hello!
বুঝলাম।	I see.
ধরেছি!	Got it!
শুনুন।	Listen.
সত্যি?	Really?
বেরও।	Get out.
বেরো।	Get out.
এলাম!	Goodbye!
আমিও।	Me, too.
বসো!	Sit down!
বসো।	Sit down.
ঝাঁপ দাও।	Jump.
নমস্কার!	Hello!
আক্রমণ!	Attack!
বুঝেছো?	Got it?
ছাড়।	Leave it.
বসুন!	Sit down!
বসুন।	Sit down.
ও কে?	Who's he?
বুঝেছেন?	Got it?
বুঝেছিস?	Got it?
তাই নাক?	Really?
ধন্যবাদ!	Thanks!
ধন্যবাদ।	Thanks.
বিদায়।	Goodbye!
আমি টম।	I'm Tom.
এটা নে।	Take it.
স্বাগত।	Welcome.
ছাড়ো।	Leave it.
দারুন!	Terrific!
সে কে?	Who's he?
দেখে!	Watch out!
একটু হাসো।	Smile.
আমি জানি।	I know.
আমিই কেন?	Why me?
চলে যাও!	Go away!
চলে যান।	Go away!
চলে যাও।	Go away.
ওটা রাখ।	Keep it.
এটা নিন।	Take it.
এটা নাও।	Take it.
টম জিতল।	Tom won.
স্বাগতম।	Welcome.
কে জিতল?	Who won?
কেন নয়?	Why not?
চুপ কর।	Be quiet.
যেও না।	Don't go.
যাস না।	Don't go.
মজা কর।	Have fun.
ও বললো।	He spoke.
ছাড়ুন।	Leave it.
দাঁড়া!	Stand up!
দাঁড়া।	Stand up.
টম এলো।	Tom came.
কি মজা!	What fun!
কে এলো?	Who came?
উনি কে?	Who's he?
তাহলে?	Then what?
একদম!	Definitely!
ছাড়!	Never mind!
একটু হাসুন।	Smile.
বুঝে গেছি!	Got it!
ও দৌড়ালো।	He ran.
চেখে দেখো।	Try it.
টমকে আনো।	Get Tom.
টমকে ধরো।	Get Tom.
বাড়ি যা।	Go home.
আস্তে যা।	Go slow.
টমকে মার।	Hit Tom.
আমি একমত।	I agree.
ওটা রাখো।	Keep it.
একদম ঠিক!	Perfect!
আমাকে বল।	Tell me.
চুপ করো।	Be quiet.
সে বললো।	He spoke.
আমি অলস।	I'm lazy.
আমি ধনী।	I'm rich.
চলো যাই!	Let's go!
চলো যাই।	Let's go.
জোরে বল!	Speak up!
দাঁড়াও!	Stand up!
দাঁড়ান!	Stand up!
দাঁড়াও।	Stand up.
দাঁড়ান।	Stand up.
তিনি কে?	Who's he?
নিশ্চই!	Of course!
অবশ্যই!	Of course!
নিশ্চই।	Of course.
অবশ্যই।	Of course.
কি খবর?	What's up?
ছাড়ো!	Never mind!
চেখে দেখুন।	Try it.
আমাকে ডেক।	Call me.
ভেতরে আসো।	Come in.
টমকে ডাকো।	Get Tom.
টমকে আনুন।	Get Tom.
টমকে ধরুন।	Get Tom.
বাড়ি যাও।	Go home.
বাড়ি যান।	Go home.
আস্তে যান।	Go slow.
আস্তে যাও।	Go slow.
ও এসেছিলো।	He came.
এ দৌড়ায়।	He runs.
ও দৌড়ায়।	He runs.
টমকে মারো।	Hit Tom.
আমি লাজুক।	I'm shy.
ওটা রাখুন।	Keep it.
আমাকে বলো।	Tell me.
টম দৌড়াল।	Tom ran.
সুস্বাগতম।	Welcome.
কে দৌড়াল?	Who ran?
চুপ করুন।	Be quiet.
শান্ত হও!	Cool off!
যাবেন না।	Don't go.
আনন্দ কর।	Have fun.
মজা করুন।	Have fun.
আমি গরিব।	I'm poor.
এটা নতুন।	It's new.
এখানে বস।	Sit here.
জোরে বলো!	Speak up!
টমকে বলো।	Tell Tom.
টম জানতো।	Tom knew.
কি জন্যে?	What for?
কি কারনে?	What for?
কে পড়লো?	Who fell?
শক্ত হও।	Be strong.
আমি ঠিক।	I'm right.
আমি তোর।	I'm yours.
কী বললে?	Pardon me?
ও হাঁটে।	She walks.
টম জানে।	Tom knows.
সাবধানে!	Watch out!
এসো না।	Don't come.
সরো না!	Don't move!
গাও না।	Don't sing.
গাস না।	Don't sing.
গান না।	Don't sing.
চুপ কর!	Keep quiet!
ওটা টম।	That's Tom.
টম মৃত।	Tom's dead.
টম আহত।	Tom's hurt.
ওটা কে?	Who's that?
আমি ঠিক আছি।	I'm OK.
কোন মতেই না!	No way!
ভেতরে আসুন।	Come in.
টমকে ডাকুন।	Get Tom.
সে এসেছিলো।	He came.
ইনি দৌড়ান।	He runs.
সে দৌড়ায়।	He runs.
উনি দৌড়ান।	He runs.
টমকে মারুন।	Hit Tom.
আমাকে দেখা।	Show me.
আমাকে বলুন।	Tell me.
টম খেয়েছে।	Tom ate.
কে খেয়েছে?	Who ate?
কে জিতেছিল?	Who won?
তুমি জিতলে।	You won.
উনি বললেন।	He spoke.
কতটা গভীর?	How deep?
এখানে বসো।	Sit here.
টমকে বলুন।	Tell Tom.
ওরা জিতলো।	They won.
টম কাঁদলো।	Tom wept.
আমরা একমত।	We agree.
আমরা যাবো।	We'll go.
শান্ত হও।	Calm down.
ফিরে আসো।	Come back.
কেঁদো না।	Don't cry.
আমি যাবো।	I will go.
আমি ডাকব।	I'll call.
আমি গাবো।	I'll sing.
আমি তৈরি।	I'm ready.
আমিই ঠিক।	I'm right.
এখন ৭:৪৫।	It's 7:45.
এটা আমার।	It's mine.
নিশ্চয়ই।	Of course.
কী বললেন?	Pardon me?
সে হাঁটে।	She walks.
ওখানে বস।	Sit there.
টম হাঁটে।	Tom walks.
টম লাজুক।	Tom's shy.
সাবধানে।	Be careful.
আসিস না।	Don't come.
দেখো না!	Don't look.
সরেন না!	Don't move!
সরিস না!	Don't move!
থামো না।	Don't stop.
উনি বেশ।	He is nice.
চুপ করো!	Keep quiet!
সরে যান।	Step aside.
সরে যাও।	Step aside.
সেটা টম।	That's Tom.
টম বধির।	Tom's deaf.
কে ছিলো?	Who was it?
সে একা।	He is alone.
ওটা কী?	What's that?
এটা কী?	What's this?
তুই কে?	Who are you?
আমাকে ডাকিস।	Call me.
আমাদের ডেকো।	Call us.
তিনি দৌড়ান।	He runs.
আমাকে দেখান।	Show me.
আমাকে দেখাও।	Show me.
টম খেয়েছিল।	Tom ate.
টম দৌড়েছিল।	Tom ran.
ঘুম থেকে ওঠ।	Wake up.
কে খেয়েছিল?	Who ate?
কে খেয়েছেন?	Who ate?
কে দৌড়েছিল?	Who ran?
কে দৌড়ালেন?	Who ran?
তুমি দৌড়াও।	You run.
আপনি দৌড়ান।	You run.
আপনি জিতলেন।	You won.
টমকে খোঁজো।	Find Tom.
আনন্দ করুন।	Have fun.
তিনি বললেন।	He spoke.
আমি বুঝেছি।	I got it.
আমি থাকলাম।	I stayed.
আমি ব্যস্ত।	I'm busy.
আমি কুঁড়ে।	I'm lazy.
আমি বড়লোক।	I'm rich.
আমি অসুস্থ।	I'm sick.
যাওয়া যাক!	Let's go!
যাওয়া যাক।	Let's go.
এখানে বসেন।	Sit here.
টমকে থামান।	Stop Tom.
টমকে থামাও।	Stop Tom.
টমকে আটকাও।	Stop Tom.
টমকে আটকান।	Stop Tom.
তারা জিতলো।	They won.
টম এসেছিলো।	Tom came.
কে এসেছিলো?	Who came?
উত্তর দিন।	Answer me.
উত্তর দাও।	Answer me.
পাখি ওড়ে।	Birds fly.
শান্ত হোন।	Calm down.
ফিরে আসেন।	Come back.
ফিরে আসিস।	Come back.
এখানে আসো।	Come here.
ভেতরে যান।	Go inside.
ভেতরে যাও।	Go inside.
কি অদ্ভুত!	How weird!
আমি হাটবো।	I'll walk.
আমি তোমার।	I'm yours.
আমি আপনার।	I'm yours.
ওখানে বসো।	Sit there.
সেখানে বস।	Sit there.
এখানে থাম।	Stop here.
টম চালালো।	Tom drove.
আবার এসো।	Come again.
জলদি আসো!	Come quick!
আসবেন না।	Don't come.
লাফাও না!	Don't jump!
লাফান না!	Don't jump!
লাফাস না!	Don't jump!
দেখেন না!	Don't look.
দেখিস না!	Don't look.
থামেন না।	Don't stop.
থামিস না।	Don't stop.
আমি আসছি।	I'm coming.
তাই বুঝি?	Is that so?
আর একবার।	Once again.
ও হাঁসলো।	She smiled.
সময় শেষ।	Time is up.
টম নাচলো।	Tom danced.
টম হাসলো।	Tom smiled.
টম এখানে।	Tom's here.
এটা দেখো।	Watch this.
আবার কর!	Do it again!
আমিও ১৭।	I'm 17, too.
টমই ঠিক।	Tom's right.
সেটা কী?	What's that?
আপনি কে?	Who are you?
তুমি কে?	Who are you?
এটা কার?	Whose is it?
আমি চেষ্টা করি।	I try.
আমার জানা আছে।	I know.
আমি হেরে গেছি।	I lost.
আমাকে ডাকবেন।	Call me.
আমাদের ডাকিস।	Call us.
উনি এসেছিলেন।	He came.
তোমরা দৌড়াও।	You run.
টমকে খোঁজেন।	Find Tom.
টমকে খুঁজিস।	Find Tom.
তাঁরা জিতলো।	They won.
এখানে আসেন।	Come here.
এখানে আসিস।	Come here.
এখানে আসুন!	Come here.
এটা আমাদের।	It's ours.
টমকে ছাড়ো।	Leave Tom.
উপরে দেখুন।	See above.
নীচে দেখুন।	See below.
উনি হাঁটেন।	She walks.
ওখানে বসুন।	Sit there.
সেখানে বসো।	Sit there.
চিকন থাকুন।	Stay thin.
এখানে থামো।	Stop here.
টম কথা বলল।	Tom spoke.
আমরাই জিতব।	We'll win.
আমরা জিতবই।	We'll win.
আমরা লাজুক।	We're shy.
তুমি চালাও।	You drive.
খাবার আনো।	Bring food.
জলদি আসেন!	Come quick!
জলদি আসিস!	Come quick!
