Ve.	Go.
Id.	Go.
Vete.	Go.
Vaya.	Go.
Hola.	Hi.
Vayan.	Go.
Váyase.	Go.
¡Huye!	Run!
Corra.	Run.
Sé.	I know.
Váyanse.	Go.
¡Corre!	Run!
¡Corra!	Run!
Corred.	Run.
¿Quién?	Who?
¡Órale!	Wow!
Salte.	Jump.
Salto.	Jump.
¡Para!	Stop!
¡Pare!	Stop!
Huí.	I fled.
¡Corran!	Run!
¡Corred!	Run!
¡Fuego!	Fire!
¡Ayuda!	Help!
¡Salta!	Jump!
¡Parad!	Stop!
Espera.	Wait.
Espere.	Wait.
Corrí.	I ran.
Huía.	I fled.
Salí.	I left.
Sal.	Get out.
Iré.	I'll go.
Quédate.	Stay.
Quédese.	Stay.
Quedaos.	Stay.
¡Espera!	Wait!
Esperen.	Wait.
Esperad.	Wait.
Corría.	I ran.
Sonríe.	Smile.
Ve ya.	Go now.
Id ya.	Go now.
Mentí.	I lied.
Perdí.	I lost.
Pagué.	I paid.
Canté.	I sang.
Lloré.	I wept.
Pase.	Come in.
Abre.	Open up.
Dime.	Tell me.
¡Auxilio!	Help!
Quédense.	Stay.
¡Esperen!	Wait!
Empieza.	Begin.
Hacedlo.	Do it.
¡Oh, no!	Oh no!
Dispara.	Shoot!
¡Ataca!	Attack!
Espira.	Exhale.
Espire.	Exhale.
Corrió.	He ran.
Me caí.	I fell.
Dimito.	I quit.
¡Minga!	No way!
Entre.	Come in.
Salid.	Get out.
Fuera.	Get out.
¡Chau!	Goodbye!
Dormí.	I slept.
Corre.	You run.
Miré.	I looked.
Recé.	I prayed.
Gané.	I've won.
Ven.	Come here.
¡Agáchate!	Duck!
¡Agáchese!	Duck!
¡Agachaos!	Duck!
¡Incendio!	Fire!
¡Disparad!	Fire!
Escóndete.	Hide.
¡Espérate!	Wait!
Continúa.	Go on.
Continúe.	Go on.
¡Dispara!	Shoot!
¡Dispará!	Shoot!
¡Dispare!	Shoot!
¡Atacad!	Attack!
¡Ataque!	Attack!
Exhalar.	Exhale.
Espirad.	Exhale.
Espiren.	Exhale.
Levanta.	Get up.
Vaya ya.	Go now.
Lo dejo.	I quit.
Lloraba.	I wept.
Inhalar.	Inhale.
Inspira.	Inhale.
Inspire.	Inhale.
Escucha.	Listen.
Escuche.	Listen.
¡Mangos!	No way!
Gracias.	Thanks.
Comimos.	We ate.
Ganamos.	We won.
Pírate.	Beat it.
Ándale.	Come on.
Bájate.	Get out!
Salgan.	Get out.
¡Largo!	Go away!
Se fue.	He left.
Sujeta.	Hold on.
Soy yo.	It's me!
Páralo.	Stop it.
Cógelo.	Take it.
Dímelo.	Tell me.
Decime.	Tell me.
Venga.	Cheer up.
Abajo.	Get down.
Entra.	Go on in.
Entrá.	Go on in.
Fallé.	I failed.
Ayudé.	I helped.
Salté.	I jumped.
Lo vi.	I saw it.
Hablé.	I talked.
Duele.	It hurts.
Es té.	It's tea.
Vamos.	Let's go!
Murió.	She died.
Vení.	Come here.
Tosí.	I coughed.
Cedí.	I gave up.
Paré.	I stopped.
Nevó.	It snowed.
Vale.	It's okay.
Anda.	She walks.
¡Inclínate!	Duck!
¡Agáchense!	Duck!
Me oculté.	I hid.
Tranquila.	Relax.
¡Disparen!	Shoot!
¿Disculpa?	Sorry?
¡Ataquen!	Attack!
Cómprela.	Buy it.
Cómpralo.	Buy it.
Cómetelo.	Eat it.
Coméoslo.	Eat it.
Cómaselo.	Eat it.
Vayan ya.	Go now.
Abrázame.	Hug me.
Yo lo sé.	I know.
Renuncié.	I quit.
Inspirad.	Inhale.
Inspiren.	Inhale.
Escuchen.	Listen.
¡Gracias!	Thanks!
Pruébalo.	Try it.
¡Pírate!	Beat it!
Llamame.	Call me.
Llámame.	Call me.
¡Entren!	Come in.
¡Ándale!	Come on!
Dóblalo.	Fold it.
Él vino.	He came.
Ayúdame.	Help me!
Ayudame.	Help me.
Resista.	Hold on.
Resiste.	Hold on.
Detente.	Hold up.
Disparé.	I fired.
Me helé.	I froze.
Me mudé.	I moved.
Soy Tom.	I'm Tom.
¡Soy yo!	It's me!
Detenlo.	Stop it.
Aparta.	Back off!
Bébelo.	Drink it.
¡Abajo!	Get down!
Entren.	Go on in.
Entrad.	Go on in.
¿Subes?	Going up?
Buenas.	Hi, guys.
Acepté.	I agreed.
Accedí.	I agreed.
Sonreí.	I smiled.
Charlé.	I talked.
Esperé.	I waited.
Es Tom.	It's Tom.
Déjalo.	Leave it.
Déjame.	Leave me.
¡Vamos!	Let's go!
Mírame.	Watch me.
Iremos.	We'll go.
Jesús.	Bless you.
Vente.	Come over.
¿Gané?	Did I win?
Le vi.	I saw him.
Te vi.	I saw you.
Grité.	I shouted.
Falló.	It failed.
Flota.	It floats.
A ver.	Let's see.
Dese prisa.	Hurry!
Me escondí.	I hid.
Lo intento.	I try.
¡He ganado!	I won!
Cómanselo.	Eat it.
¡Lo tengo!	Got it!
Él corrió.	He ran.
Me escapé.	I fled.
¿En serio?	Really?
Sé justo.	Be fair.
Sé bueno.	Be good.
Sé buena.	Be good.
Llamadme.	Call me.
Llámanos.	Call us.
Suéltalo.	Drop it!
¡Lárgate!	Go away!
¡Vete ya!	Go away!
Lárguese.	Go away.
Ve atrás.	Go back.
Ayúdanos.	Help us.
Sujétalo.	Hold it.
Sostenlo.	Hold it.
Sostenla.	Hold it.
Guárdalo.	Keep it.
Empújala.	Push it.
Empújalo.	Push it.
Empújelo.	Push it.
Empújela.	Push it.
Mostrame.	Show me.
Cuéntame.	Tell me.
Tom ganó.	Tom won.
Perdimos.	We lost.
Anímate.	Cheer up!
Túmbate.	Get down.
Apúrese.	Hurry up.
Convine.	I agreed.
Maldije.	I cursed.
Lo hice.	I did it.
Fracasé.	I failed.
Suspiré.	I sighed.
Hablaba.	I talked.
Soy fea.	I'm ugly.
Es suyo.	It's his.
Es rojo.	It's red.
¡Déjalo!	Leave it.
Déjanos.	Leave us.
Vámonos.	Let's go!
Cuidado.	Look out!
Sentate.	Sit down.
¡Parate!	Stand up!
¡De pie!	Stand up!
¡Genial!	Terrific!
Vuelve.	Come back.
Veníos.	Come over.
Sonrió.	He smiled.
Eructé.	I belched.
Cambié.	I changed.
Exhalé.	I exhaled.
Me reí.	I laughed.
Vi uno.	I saw one.
Viviré.	I'll live.
Pararé.	I'll stop.
Andaré.	I'll walk.
Llovió.	It rained.
Apesta.	It stinks.
Es mío.	It's mine.
Es mía.	It's mine.
Veamos.	Let's see.
Quieto.	Slow down.
Eso es.	That's it.
Aabe...	Who knows?
Cedió.	He gave up.
Silbé.	I whistled.
¿Aquí?	Is it here?
Canta.	Sing along.
Pasó.	It happened.
¡Date prisa!	Hurry!
¡Daos prisa!	Hurry!
Me ocultaba.	I hid.
Me escondía.	I hid.
¡Al ataque!	Attack!
¿Lo pillas?	Got it?
¡Imposible!	No way!
¿La verdad?	Really?
Sea buena.	Be good.
Sea bueno.	Be good.
Sé amable.	Be kind.
Soy gorda.	I'm fat.
Soy viejo.	I'm old.
Está bien.	It's OK.
Empújadlo.	Push it.
Empújadla.	Push it.
Empújenlo.	Push it.
Empújenla.	Push it.
Nos vemos.	See you.
Muéstrame.	Show me.
¡Cállense!	Shut up!
Sáltatelo.	Skip it.
Decídmelo.	Tell me.
Tom comió.	Tom ate.
Despierta.	Wake up.
Apártate.	Back off.
Sé breve.	Be brief.
¡Anímate!	Cheer up!
¡Cálmate!	Cool off!
Espósale.	Cuff him.
Esfúmate.	Get lost.
Adelante.	Go ahead!
Agárralo.	Grab him.
Él habló.	He spoke.
Puedo ir.	I can go.
