قف!	Stop!
اركض!	Run!
مرحبًا.	Hi.
اقفز!	Jump!
إنتظر	Wait!
توقف!	Stop!
داوم.	Go on.
ركض.	He ran.
هيا	Come on!
خذه	Take it.
النجدة!	Help!
استمر.	Go on.
أهلاً.	Hello.
تعجّل!	Hurry!
استرح.	Relax.
ابتسم.	Smile.
أعرف.	I know.
استمع	Listen.
حقاً؟	Really?
شكرا.	Thanks.
هيّا	Come on!
مرحباً.	Hello!
استعجل!	Hurry!
انا اري	I see.
شكراً!	Thanks!
رائع!	Awesome!
اخرج!	Get out.
ارحل.	Go away.
اخرس!	Shut up!
اصمت!	Shut up!
اسكت!	Shut up!
أوقفه	Stop it.
جيد	Well done!
أُخرج!	Get out!
انتظر.	Hold on.
أخبرني	Tell me.
مرحبا!	Welcome.
لم لا؟	Why not?
إحذر!	Look out!
انتبه	Look out!
تكلم!	Speak up!
اسمع	Listen up.
مَن؟	Who is it?
اخفض رأسك!	Duck!
أنا فُزت!	I won!
في صحتك.	Cheers!
هل فهمت؟	Got it?
أنا أعلم	I know.
هاتفني.	Call me.
هو يجري	He runs.
ساعدني!	Help me!
ساعدوني	Help me.
استيقظ!	Wake up!
من فاز؟	Who won?
لما لا؟	Why not?
أسرعا.	Hurry up.
لنذهب.	Let's go!
ممتاز!	Terrific!
ضحكت.	I laughed.
مللت.	I'm bored.
مذهل.	Wonderful!
سخيف	Ridiculous!
اخفضي رأسك!	Duck!
أعلم ذلك.	I know.
أنا في 19	I'm 19.
أنا بخير.	I'm OK.
اتصل بي.	Call me.
لقد أتى.	He came.
أنا كذلك	Me, too.
توم فاز.	Tom won.
أنا هنا	I'm here.
اِنتبه!	Look out!
من أنا؟	Who am I?
من مات؟	Who died?
اِهدأ.	Calm down.
عفواً.	Excuse me.
أعذرني	Excuse me.
انسني.	Forget me.
أتأسف.	I'm sorry.
طبعاً!	Of course!
طبعاً.	Of course.
انتبه!	Take care!
قطعاً	Definitely!
أحبك.	I like you.
احبك.	I love you.
سآتي.	I'm coming.
أدخل	Come inside.
غير معقول!	No way!
لماذا أنا؟	Why me?
خذ راحتك.	Be cool.
أنا موافق	I agree.
أنا حزين.	I'm sad.
أغلق فمك!	Shut up!
فهمتُهُ.	I got it.
فهمتُها.	I got it.
أستخدمه.	I use it.
أنا ثري.	I'm rich.
هذا مؤلم	It hurts.
هي تمشي.	It works.
الجو حار	It's hot.
إنه جديد	It's new.
هيا بنا!	Let's go!
هيا بنا.	Let's go.
توم مات.	Tom died.
من توفي؟	Who died?
من بعدك	After you.
اقتربي.	Come here.
هو مريض	He is ill.
أنا آسف	I'm sorry.
بالطبع.	Of course.
أوقفهم.	Stop them.
يا غبي!	You idiot!
اتبعه.	Follow him.
ها هي.	Here it is.
أعرفه.	I know him.
أحبها.	I love her.
أريدك.	I want you.
كلمني!	Talk to me!
علومك؟	What's new?
غضب.	He got angry.
إلى اللقاء	Goodbye!
أنا أيضاً.	Me, too.
مرحباً بك!	Welcome.
لقد نسيت.	I forgot.
أنا حُرّ.	I'm free.
أنا فقير.	I'm poor.
انها جافه	It's dry.
توفي توم.	Tom died.
هاك، جرب.	Try some.
يُباركك.	Bless you.
انسَ ذلك	Forget it!
أُدخُلْ.	Go inside.
كيف توم؟	How's Tom?
آمل ذلك.	I hope so.
أنا ولد.	I'm a boy.
أنا سعيد	I'm happy.
أنا آسف.	I'm sorry.
المعذرة؟	Pardon me?
شكراً لك	Thank you.
ثم ماذا؟	Then what?
من يدري؟	Who knows?
من يعلم؟	Who knows?
يا أحمق!	You idiot!
املئها.	Fill it up.
هو سعيد	He's happy.
هو ذكي.	He's smart.
تعجبني.	I like you.
أحتاجك.	I need you.
استقلت.	I resigned.
أنا آتٍ	I'm coming.
مجدداً.	Once again.
