वाह!	Wow!
झुको!	Duck!
बतख़!	Duck!
बचाओ!	Help!
उछलो.	Jump.
कूदो.	Jump.
छलांग.	Jump.
सही!	Perfect!
नमस्ते।	Hello!
नमस्कार।	Hello!
चियर्स!	Cheers!
उत्तम!	Perfect!
वाह-वाह!	Cheers!
सांस ले।	Inhale.
सांस लो।	Inhale.
धन्यवाद!	Thanks!
हम जीते।	We won.
चले जाओ!	Go away!
शाबाश!	Well done!
अद्भुत	Wonderful!
सांस छोड़।	Exhale.
स्वागतम्।	Welcome.
बैठिए।	Please sit.
सांस छोड़ो।	Exhale.
हम हार गए।	We lost.
मौज करना।	Have fun.
मज़े करो।	Have fun.
चलो चलें!	Let's go!
टॉम उठाओ।	Pick Tom.
बेतुका!	Ridiculous!
मैं ठीक हूँ।	I'm OK.
अंदर आ जाओ।	Come in.
मज़े करना।	Have fun.
मैं हँसा।	I laughed.
कौन जाने?	Who knows?
हिलो मत।	Don't move.
समझे कि नहीं?	Got it?
बहुत बढ़िया!	Awesome!
मैं भूल गई।	I forgot.
बहुत ख़ूब!	Fantastic!
कैसे हो?	How are you?
मैं भूल गया।	I forgot.
माफ़ कीजिए।	Excuse me.
निश्चित ही	Definitely!
और एक बार।	Once again.
हास्यस्पद!	Ridiculous!
वह कौन है?	Who's that?
बाहर निकल जाओ!	Get out!
ख़ुदा हाफ़िज़।	Goodbye!
किसे पता है?	Who knows?
हास्यास्पद!	Ridiculous!
मैं आऊंगा।	I'll attend.
सोच लो।	Think about it.
आपका स्वागत है।	Welcome.
मुझे जवाब दो।	Answer me.
किसको पता है?	Who knows?
आग जलाती है।	Fire burns.
क्या नया है?	What's new?
नया क्या है?	What's new?
चिल्लाओ मत!	Don't shout.
तू कैसा है?	How are you?
तू कैसी है?	How are you?
आप कैसे हो?	How are you?
यह क्या है?	What's this?
मैं पैसे दूंगा।	I'll pay.
ठंड हो रही है।	It's cold.
किसे मालूम है?	Who knows?
चिल्लाईए मत।	Don't shout.
आप कैसे हैं?	How are you?
तुम कैसे हो?	How are you?
तुम कैसी हो?	How are you?
आप कैसी हैं?	How are you?
अविश्वसनीय!	Unbelievable!
हम खुश हैं।	We are happy.
बधाई हो!	Congratulations!
बदतमीज़!	How rude of you!
पंछी उड़ते हैं।	Birds fly.
मैं अकेला हूँ ।	I'm alone.
मैं अकेली हूँ ।	I'm alone.
मैं थक गया हूँ।	I'm tired.
पंछी गाते हैं।	Birds sing.
उसका पीछा करो।	Follow him.
मैं आ रहा हूँ।	I'm coming.
उसे अंदर भेजो।	Let him in.
वह ताकतवर है।	He's strong.
कोई नहीं आया।	Nobody came.
यह किताब है।	It is a book.
कृपया जाईये।	Please leave.
मुझे दिखाओ।	Let me try it.
हमारा क्या?	What about us?
टॉम मुस्कुराया।	Tom smiled.
हमारे साथ आओ।	Come with us.
जल्दी कीजिए।	Make it quick.
पढ़के सुनाओ।	Read it aloud.
वह हमारा था।	That was ours.
यह नक्शा है।	This is a map.
भगवान जाने।	Only God knows.
आराम से आओ।	Take your time.
आप कहाँ थे?	Where were you?
मुबारक हो!	Congratulations!
मैं बेहोश हो गया।	I fainted.
मुझे भूख लगी है!	I'm hungry!
मुझे भूख लगी है।	I'm hungry!
उसे अंदर आने दो।	Let him in.
वह खड़ा हो गया।	He stood up.
इसे नीचे रख दो।	Put it down.
हमने वादा किया।	We promised.
मैं घर पर हूँ।	I am at home.
मुझे नहीं पता।	I don't know.
मैं समझता हूँ।	I understand.
यह मुफ़्त है।	It's for free.
चलो करते हैं।	Let's do that.
दरवाज़ा खोलो।	Open the door.
वह नीचे झुकी।	She bent down.
उसे छूना मत।	Don't touch it.
तुम कहाँ थे?	Where were you?
मेरा पेट भर गया है।	I'm full.
मैं तैर सकता हूँ।	I can swim.
टॉम ने उबासी ली ।	Tom yawned.
एसटर मुबारक हो!	Happy Easter!
मैं डॉक्टर हूँ।	I'm a doctor.
थक गए हो क्या?	Are you tired?
हार मत मान लो।	Don't give in.
पीकर खतम करदो।	Drink it down.
फूल खिलते हैं।	Flowers bloom.
मुझे देखने दो।	Let me try it.
दरवाज़ा खोलिए।	Open the door.
अपने पैर धोओ।	Wash your feet.
पागल मत बनो।	Don't be absurd.
वह मत खोलिए।	Don't open that.
कोई है क्या?	Is anybody here?
सब बच गए।	Everyone was saved.
मैं बोर हो रहा हूँ।	I'm bored.
मुझे तैरना आता है।	I can swim.
मुझे बाहर जाने दो!	Let me out!
क्या मैं ग़लत था?	Was I wrong?
उसको अंदर ले आओ।	Bring him in.
मुझे नहीं मालूम।	I don't know.
बरफ़ गिर रही है।	It's snowing.
