#NAME?	#اسم؟
(1) (Japanese) maple	(1) (اليابانية) القيقب
(1) aunt; (2) middle-aged lady	(1) عمة؛ (2) سيدة في منتصف العمر
(1) chapter; section; (2) medal	(1) الفصل؛ قسم؛ (2) ميدالية
(1) coincidence; agreement; (2) conformity	(1) الصدفة؛ اتفاق؛ (2) المطابقة
(1) complete; completion; (2) perfection; accomplishment	(١) كامل؛ انتهاء؛ (2) الكمال. الإنجاز
(1) connection; union; join; link; (2) changing trains	(1) الاتصال؛ الاتحاد؛ ينضم؛ وصلة؛ (2) تغيير القطارات
(1) dear; beloved; darling; (2) yearned for	(١) عزيزي؛ الحبيب؛ محبوب؛ (٢) مشتاق إليه
(1) defect; demerit; weak point; (2) disadvantage	(1) عيب؛ عيب. نقطة ضعف (2) العيب
(1) draft (beer); (2) raw; unprocessed	(1) مشروع (البيرة)؛ (2) الخام. غير المجهزة
(1) farm (livestock); (2) pasture land; meadow; grazing land	(1) المزرعة (الماشية)؛ (2) أراضي المراعي؛ مرج؛ أرض الرعي
(1) flower arrangement	(1) تنسيق الزهور
(1) gold; (2) gold general (shogi) (abbr)	(1) الذهب؛ (2) الجنرال الذهبي (شوغي) (abbr)
(1) horse; (2) promoted bishop (shogi)	(1) الحصان؛ (2) ترقية الأسقف (شوغي)
(1) idea; notion; conception; (2) sense (e.g. of duty)	(1) فكرة؛ فكرة؛ الحمل. (2) المعنى (مثل الواجب)
(1) left and right; (2) influence; control; domination	(١) اليسار واليمين؛ (2) التأثير؛ يتحكم؛ السيطرة
(1) line; procession; (2) matrix (math)	(1) السطر؛ موكب؛ (2) المصفوفة (الرياضيات)
(1) mark; (2) symbol; (3) evidence	(1) علامة؛ (2) الرمز؛ (3) الأدلة
(1) mouse; rat; (2) dark gray; slate color	(1) الفأرة؛ فأر؛ (2) رمادي غامق؛ لون لائحة
(1) on the other hand; (2) meanwhile; (3) only; simple; in turn	(١) من جهة أخرى؛ (٢) في هذه الأثناء؛ (3) فقط؛ بسيط؛ بدوره
(1) one day; (2) first of month	(١) يوم واحد؛ (٢) أول الشهر
(1) one object; one body; (2) what on earth?; really?; (3) generally	(1) كائن واحد؛ جسد واحد؛ (٢) ماذا على الأرض؟ حقًا؟؛ (٣) عمومًا
(1) order; precedence; (2) circumstances; (3) immediate(ly)	(1) النظام؛ أسبقية؛ (2) الظروف؛ (3) فوري(فوري)
(1) organization; (2) structure; construction; (3) tissue; (4) system	(1) التنظيم؛ (2) الهيكل؛ بناء؛ (3) الأنسجة؛ (4) النظام
(1) origin; original; (2) former	(1) الأصل؛ إبداعي؛ (2) السابق
(1) pine tree; (2) highest (of a three-tier ranking system)	(1) شجرة الصنوبر. (2) الأعلى (في نظام التصنيف ثلاثي المستويات)
(1) player (in game); (2) team	(1) لاعب (في اللعبة)؛ (2) الفريق
(1) remodeling; (2) modding (comp)	(1) إعادة البناء؛ (2) التعديل (شركات)
(1) request; commission; dispatch; (2) dependence; trust	(1) الطلب؛ عمولة؛ إرسال؛ (2) الاعتماد؛ الثقة
(1) seed; (2) material; (3) cause; source	(1) البذور؛ (2) المواد؛ (3) السبب؛ المصدر
(1) service; duty; (2) Buddhist religious services	(1) الخدمة؛ واجب؛ (2) الخدمات الدينية البوذية
(1) service; duty; business; responsibility; task; (2) Buddhist religious services	(1) الخدمة؛ واجب؛ عمل؛ مسؤولية؛ مهمة؛ (2) الخدمات الدينية البوذية
(1) silver; silver coin; silver paint	(1) الفضة؛ عملة فضية؛ الطلاء الفضي
(1) string; cord; (2) pimp	(١) السلسلة؛ حبل؛ (2) القواد
(1) strong point; merit; (2) advantage	(1) نقطة القوة؛ استحقاق؛ (2) ميزة
(1) time; hour; (2) occasion; moment	(1) الوقت؛ ساعة؛ (2) المناسبة؛ لحظة
(1) to adopt (measure; proposal); (2) to pick (fruit)	(1) اعتماد (تدبير؛ اقتراح)؛ (2) قطف (الفاكهة)
(1) to appear; to attend (2) to exit	(١) الظهور؛ للحضور (2) للخروج
(1) to appear; to come in sight; to become visible; (2) to express oneself	(١) الظهور؛ ليأتي في الأفق. لتصبح مرئية؛ (2) للتعبير عن نفسه
(1) to attach; to join; to add; to append	(١) للإلحاق؛ للانضمام؛ لإضافة؛ لإلحاق
(1) to avoid (physical contact ); (2) to ward off; to avert	(1) تجنب (الاتصال الجسدي)؛ (٢) للدرء؛ لتجنب
(1) to be finished; to be ready; by definition; (2) to be very drunk	(1) إلى الانتهاء؛ ليكون جاهزا؛ حسب التعريف؛ (2) أن يكون في حالة سكر شديد
(1) to be fixed; (2) to abide; to stay (in the one place)	(1) أن تكون ثابتة؛ (2) الالتزام؛ البقاء (في مكان واحد)
(1) to breathe; (2) to tell (lies); (3) to vomit; to disgorge	(١) يتنفس؛ (2) أن يقول (الأكاذيب)؛ (3) القيء. لتفريغ
(1) to comprise; to account for; to make up (of); (2) to hold; to occupy	(1) لتشمل؛ لحساب؛ لتعويض (من) ؛ (2) عقد؛ لاحتلال
(1) to cut well; to be sharp; (2) to break (off)	(١) أن يقطع جيدًا؛ أن تكون حادة؛ (٢) ينقطع (يقطع)
(1) to date (someone) (2) to keep company	(1) حتى الآن (شخص ما) (2) للحفاظ على الشركة
(1) to disgrace; to dishonour; (2) to pollute; to contaminate; to soil; to make dirty; to stain	(١) للعار؛ إلى العار؛ (2) للتلويث. لتلوث؛ إلى التربة لجعل القذرة. وصمة عار
(1) to draw (water); to dip; to scoop; to pump	(١) يسحب (الماء)؛ تراجع؛ لمغرفة. لضخ
(1) to drive; to pass through; (2) to evade; to hide; (3) to dive (into or under water); to go undergroun	(١) القيادة؛ للمرور؛ (٢) التهرب؛ للاختباء. (3) الغوص (في الماء أو تحته)؛ للذهاب تحت الأرض
(1) to govern; to manage; (2) to subdue	(1) للحكم؛ لإدارة؛ (٢) للإخضاع
(1) to grow; to spring up; (2) to cut (teeth)	(١) النمو؛ لتنبثق. (2) قطع (الأسنان)
(1) to invite; to ask; (2) to tempt; to lure; to induce	(١) للدعوة؛ أن تسأل؛ (٢) للإغراء؛ لإغراء؛ للحث
(1) to open; to become empty; (2) to be less crowded	(١) للفتح؛ لتصبح فارغة. (2) أن تكون أقل ازدحاما
