அவன் யார்?	Who is he?
நிச்சயமாக	Definitely!
அவள் யார்?	Who is she?
போய் தூங்கு	Go to sleep.
நான் தூங்கினேன்.	I slept.
நான் நடப்பேன்.	I'll walk.
என்னிடம் பேசு	Talk to me!
மழை பெய்யலாம்	It may rain.
இதைக் கேள்	Listen to this!
அவள் சிரித்தாள்	She smiled.
அவள் அன்பானவள்	She is kind.
அமைதியாக இருங்கள்	Calm down.
தொடர்பில் இரு	Keep in touch!
அவளிடம் கொடு	Give it to her.
கையைத் தூக்கு	Raise your hand.
யாருக்குத் தெரியும்?	Who knows?
அவளுக்கு எட்டு வயது	She is eight.
என்னை வந்து பார்	Come and see me.
அவள் அவனைக் கடித்தாள்	She bit him.
அவள் அவனைக் அடித்தாள்	She hit him.
நாய் ஜாக்கிரதை!	Beware of the dog!
வாயை மூடி கவனி	Shut up and listen!
என்னிடம் விட்டுவிடு	Leave it to me.
அந்த பக்கம்தான் வழி	That's the way.
அவன் என்ன சொன்னான்?	What did he say?
அது எங்களுடைய வீடு	That's our house.
எனக்கு முன்னால் நட	Walk ahead of me.
நாம் எங்கே இருக்கிறோம்?	Where are we?
மறுபடியும் சந்திப்போம்	See you again.
அதை நான் பார்க்கிறேன்	I'll see to it.
அவன் ஓட ஆரம்பித்தான்	He began to run.
என்னால் ஓட முடிகிறது	I'm able to run.
நான் நிறைய சாப்பிட்டேன்	I ate too much.
என்னிடம் பொய் சொல்லாதே	Don't lie to me.
இதற்கு கட்டணமில்லை	It's free of charge.
அவைகள் என்னுடைய CD கள்	Those are my CDs.
அவள் பாட ஆரம்பித்தாள்	She began to sing.
அவன் வருவது நிச்சயம்	He is sure to come.
போய் மேரியை எழுப்பு	Go and wake Mary up.
நீ இதில் தலையிடாதே	You keep out of this.
உன் கையில்தான் இருக்கிறது	It's up to you.
வா எங்களுக்கு உதவி செய்	Come and help us.
நான் ஒரு தவறு செய்தேன்?	I made a mistake.
டாம் உயிர் பிழைத்தவர்.	Tom is a survivor.
நான் படிக்க வேண்டுமா?	Do I have to study?
நான் தூங்க விரும்புகிறேன்	I want to sleep.
அவன் இன்னும் இருக்கிறான்	He is still here.
எனக்கு அவ்வளவு தெரியும்.	I know that much.
அவருக்கு மூன்று மகன்கள்	He has three sons.
நான் ஆடை அணிய வேண்டும்	I have to dress up.
நான் உன்னிடம் பேசலாமா?	May I speak to you?
போய் யார் என்று பார்	Go and see who it is.
அவன் இப்பொழுதுதான் வந்தான்	He just arrived.
வலது பக்கத்தை கடைப் பிடி	Keep to the right.
நான் அவனை வரச் சொன்னேன்	I told him to come.
அவன் ஓட விருப்பப் படுகிறான்	He likes to run.
அவள் போகத் தீர்மானித்தாள்	She decided to go.
