শুভ সকাল, কেমন আছেন?	Good morning, how are you?
সবাইকে শুভ সকাল।	Good morning to everyone.
শুভ বিকাল, আপনার দিনটি কেমন কাটল?	Good afternoon, how was your day?
সবাইকে শুভ বিকাল।	Good afternoon to everyone.
আপনার সাথে দেখা করে ভাল লাগল।	Nice to meet you.
আপনার সাথে দেখা করে ভাল লাগল, বন্ধু।	Nice to meet you, friend.
আপনাকে অনেক ধন্যবাদ সাহায্য করার জন্য।	Thank you very much for helping.
আপনাকে অনেক ধন্যবাদ।	Thank you very much.
আপনাকে স্বাগতম।	You are welcome.
আমাদের বাড়িতে আপনাকে স্বাগতম।	You are welcome to our house.
মাফ করবেন, নামটা কি?	Excuse me, what is the name?
মাফ করবেন, একটু শুনুন।	Excuse me, please listen.
মিসেস চ্যাটার্জি এখানে আছেন।	Mrs. Chatterjee is here.
তিনি হলেন মিসেস রায়।	She is Mrs. Roy.
ম্যাডাম, আপনার কলমটি এখানে।	Madam, your pen is here.
ম্যাডাম, আমি কি আসতে পারি?	Madam, may I come in?
আপনার যত্ন নিন।	Take care of yourself.
সবাই নিজের যত্ন নিন।	Everyone take care.
একটি সুন্দর দিন আপনার জন্য।	A nice day for you.
আপনার জন্য একটি সুন্দর দিন কামনা করি।	I wish a nice day for you.
আমার নয়টি কলম আছে।	I have nine pens.
এখানে নয়টি বই রাখা আছে।	Nine books are kept here.
আমার বয়স এখন চৌদ্দ বছর।	My age is fourteen years now.
সে চৌদ্দ দিন পরে আসবে।	He will come after fourteen days.
তার কাছে ষোলটি আম আছে।	He has sixteen mangoes.
বাসায় ষোল জন লোক আছে।	There are sixteen people in the house.
সতের জন ছাত্র এখানে আছে।	Seventeen students are here.
তার বয়স এখন সতের বছর।	His age is seventeen years now.
উনিশ জন মানুষ ভিড় করেছে।	Nineteen people have crowded.
বাসায় উনিশটি চেয়ার আছে।	There are nineteen chairs in the house.
একুশ জন মানুষ লাইনে আছে।	Twenty-one people are in line.
আমার একুশটি মার্বেল আছে।	I have twenty-one marbles.
তার বয়স এখন ষাট বছর।	His age is sixty years now.
এখানে ষাটটি গাছ আছে।	There are sixty trees here.
আশি জন মানুষ ওখানে আছে।	Eighty people are over there.
তার বয়স প্রায় আশি বছর।	His age is about eighty years.
নব্বই জন লোক এসেছে।	Ninety people have come.
সে নব্বই দিনে কাজ শেষ করল।	He finished the work in ninety days.
সে চতুর্থ শ্রেণিতে পড়ে।	He studies in fourth grade.
এটি চতুর্থ দফার খেলা।	This is the fourth round of the game.
সে ষষ্ঠ স্থানে এসেছে।	He came in sixth place.
এটি ষষ্ঠ মাসের কাজ।	This is the work of the sixth month.
সপ্তম দিনে বৃষ্টি হলো।	It rained on the seventh day.
সে সপ্তম শ্রেণিতে পড়ে।	He studies in seventh grade.
আমার অষ্টম জন্মদিনে কেক ছিল।	There was cake on my eighth birthday.
সে অষ্টম স্থানে আছে।	He is in eighth place.
