ಆರಾಮಾ?	What's up?
ಹೇಗಿದ್ದೀರ	How are you?
ಟಾಮ್ ಏಳಿದನು.	Tom woke up.
ಅರ್ಧ ನನಗೆ ಕೊಡು.	Give me half.
ನಮಗೆ ಬೇಕಾಗಿತ್ತು.	We needed it.
ನಾನು ತುಂಬಾ ಬಿಝಿ	I'm very busy.
ಒಳಗೆ ಹೋಗು ಅಷ್ಟೇ.	Just go inside.
ಪುಸ್ತಕ ಎಲ್ಲಿದೆ?	Where is the book?
ನಿಮಗೆ ನೆನಪು ಇದ್ಯಾ?	Do you remember?
ಟಾಮ್ ನಿನ್ನನ್ನು ಬಯಸಿದನು.	Tom liked you.
ನಾವು ಒಳಗಡೆ ಹೋಗಬಹುದಾ?	Can we go inside?
ನಿಮಗೆ ಏನು ಅನ್ನಿಸುತ್ತೆ	What do you think?
ಮೇರಿ ಸೌಂದರ್ಯವಾಗಿದ್ದಾಳೆ.	Mary is gorgeous.
ನಿಮ್ಮ ಮನೇಲಿ ಹೆಂಗಿದ್ದಾರೆ	How's your family?
ಟಾಮ್ ತುಂಬಾನೇ ಅಸಡ್ಡೆ.	Tom is very careless.
ಇಲ್ಲಿ ಏನು ನಡಿತಾಯಿದೆ?	What's going on here?
ನಾನು ಈಗ ತಾನೇ ವಾಪಸ್ಸು ಬಂದೆ.	I just got back.
ಅವರು ಏನಕ್ಕೂ ಉಪಯೋಗವಿಲ್ಲ.	They're useless now.
ನೀವು ಟಾಮಿಗೆ ಹೇಳಲೇಬೇಕು.	You have to tell Tom.
ನೀವು ಎಚ್ಚರವಾಗಿರಬೇಕು.	You need to stay awake.
ನಾನು ಅದನ್ನು ಇಲ್ಲಿ ಇಡಬಹುದೇ?	May I put it here?
ಬಹಳ ತರಕಾರಿಗಳು ತಿನ್ನು.	Eat a lot of vegetables.
ಟಾಮ್ ನನ್ನ ಜೊತೆ ಉಳಿದುಕೊಂಡನು.	Tom stayed with me.
ನಾನು ಒಂಟಿಯಾಗಿ ಪಯಣ ಮಾಡಿದೆ.	I traveled by myself.
ಆ ಗಾಯ ಹೇಗೆ ಸಿಕ್ಕಿತು?	How did you get that scar?
ಇದು ಭಯಾನಕವಾದ ದುರಂತ.	This is a horrible tragedy.
ಅದಷ್ಟೇ ಟಾಮಿಗೆ ಬೇಕಾಗಿದ್ದು.	That's all Tom needed.
ನೀವು ಇಲ್ಲಿ ಈಗ ಇರಬಾರದು.	You shouldn't be here now.
ಇವತ್ತು ವೆದರ್ ಚೆನ್ನಾಗಿದೆ	The weather is nice today.
ನೀನು ನನ್ನನು ನಿರಾಶೆ ಮಾಡುತ್ತೀಯ.	You let me down, Tom.
ಅವನು ನದಿ ಅಡ್ಡಲಾಗಿ ಈಜಿದನು.	He swam across the river.
ಯುದ್ಧ ಇನ್ನೂ ನಡೆಯುತ್ತಿದೆ.	The war is still going on.
ಬಾದಲಿಯಲ್ಲಿ ಏನೂ ಇಲ್ಲ.	There's nothing in the bucket.
ಟೊಮನ್ನು ಅದನ್ನು ಮಾಡಕ್ಕೆ ಬಿಡಬೇಡಿ.	Don't let Tom do it.
ನಾನು ಮನೆಗೆ ಹೊರಡುತ್ತಾ ಇರಬೇಕು.	I must be getting home.
ನಮ್ಮ ಅತಿಥಿಗಳನ್ನು ಸ್ವಾಗತಿಸೋಣ.	Let's greet our guests.
ನಾನು ನಿನ್ನ ಮೇಲೆ ನಂಬಿಕೆ ಇಟ್ಟಿದ್ದೇನೆ.	I believe in you.
ಮೂರ್ಖತನಕ್ಕೆ ಯಾವ ಕ್ಷಮೆಯು ಇಲ್ಲ.	Stupidity is no excuse.
ನೆನ್ನೆ ರಾತ್ರಿ ಹೇಗೆ ನಡೆಯಿತು?	How did it go last night?
ಅದು ಪರಿಹಾರ ಇಲ್ಲವೇ ಇಲ್ಲ.	That's not really a solution.
ಚನ್ನಾಗಿ ನಡೆಯಿತು ಅಂತ ಅನಿಸುತ್ತೆ.	I think that went well.
ಟಾಮ್ ಈಗ ನಿಮಗೆ ತಯಾರಾಗಿದ್ದಾನೆ.	Tom is ready for you now.
ಟಾಮ್ ಮೂರು ಗಂಟೆಯ ಮುಂಚೇನೇ ಹೋದ.	Tom left three hours ago.
ಈ ಸಲ ನಾವು ಸರಿಯಾಗಿ ಮಾಡೋಣ.	Let's get it right this time.
ಬೇರೆ ರೀತಿಯಲ್ಲಿ ಯೋಚನೆ ಮಾಡೋಣ.	We'll think of another way.
ಈ ಕೊಠಡಿ ಹಂದಿಮನೆ ತರಹ ಇದೆ.	This room looks like a pigsty.
ನಾನು ಟೊಮನ್ನು ಬಿಗಿಯಾಗಿ ತಬ್ಬಿಕೊಂಡೆ.	I gave Tom a huge hug.
ಟಾಮ್ ಒಬ್ಬ ಒಳ್ಳೆಯ ಪ್ರತಿಸ್ಪರ್ಧಿ.	Tom is a real competitor.
ನಾನು ಪ್ಯಾರಿಸಿಗೆ ಎಂದಿಗೂ ಹೋಗಿಲ್ಲ.	I've never been to Paris.
ನೀನು ಅವನನ್ನು ಪ್ರೀತಿಸುತ್ತಿದ್ದೀಯ.	You are in love with him.
ನಾನು ಎಂದಿಗೂ ಅದನ್ನೇ ನಂಬಿದ್ದೇನೆ.	I've always believed that.
ನೀವು ಯಾವ ತಂಡಕ್ಕೆ ಆಟ ಆಡುತ್ತೀರಾ?	What team do you play for?
ಕೆಲಸದಲ್ಲಿ ಅವನಿಗೆ ಅಪಘಾತವಾಯಿತು.	He had an accident at work.
ಅವಳು ಎರಡು ಮಕ್ಕಳನ್ನು ಸಾಕಿದಳು.	She brought up two children.
ಕುಡಿಯೋಕ್ಕೆ ಏನಾದ್ರು ಬೇಕಾ?	Do you need something to drink?
ಟಾಮ್ ಹೆಚ್ಚು ಮಾಂಸ ತಿನ್ನುವುದಿಲ್ಲ.	Tom doesn't eat much meat.
ನಾವು ಅದರ ಕುರಿತು ಕೆಲಸ ಮಾಡುತ್ತಾ ಇದ್ದೇವೆ.	We're working on it.
ನೀವು ಯಾಕೆ ನನಗೆ ಧನ್ಯವಾದ ಹೇಳುತ್ತೀರಾ?	Why are you thanking me?
ಟಾಮ್ ಬಹುಮಟ್ಟಿಗೆ ಮರೆತುಬಿಟ್ಟಿದ್ದನು.	Tom had almost forgotten.
ಟಾಮ್ ಮೇರಿ ಮೇಲೆ ಪ್ರೀತಿ ಇದ್ಯಾ?	Does Tom have a crush on Mary?
ನಾನು ದಡಕ್ಕೆ ಹೋಗಲು ಇಷ್ಟಪಡುತ್ತಿದೆ.	I loved going to the beach.
ಅದೇ ನಾವು ಮಾಡ್ಬೇಕು ಅಲ್ಲವ?	Isn't that what we should be doing?
ನಮ್ಮಲ್ಲಿ ಒಬ್ಬರು ಹೋಗಲೇ ಬೇಕಾಗುತ್ತದೆ.	One of us will have to go.
ಅದಕ್ಕೇನೇ ಅವನು ಅವನ ಕೆಲಸ ಕಳೆದುಕೊಂಡ.	That's why he lost his job.
ನಿಮಗೆ ಅದನ್ನು ಹಂಗೇ ಬಿಡಬೇಕಾ?	Do you want to leave it like that?
ಟಾಮ್ ಬೇರೆಯಾರನ್ನೂ ಕೊಲ್ಲಲ್ಲ.	Tom won't be killing anybody else.
ಟಾಮ್ ನಿನ್ನನ್ನು ಯಾವಾಗಲಾದರೂ ನೋಯಿಸಿದ್ದಾನಾ?	Did Tom ever hurt you?
ಅದೇ ಪ್ರಶ್ನೆ ನನ್ನನ್ನೇ ಕೇಳಿದೆ.	I wondered the same thing myself.
ಅಪಘಾತದ ಕಾರಣವೇ ಗೊತ್ತಿಲ್ಲ.	The cause of the accident is unknown.
ಪ್ರತಿವರ್ಷ ಅವನು ವಿದೇಶಕ್ಕೆ ಹೋಗುತ್ತಾನೆ.	He goes abroad every year.
ನಮಗೆ ಅದೃಷ್ಟ ಸಿಕ್ಕಿತು ಅಂತ ಅನಿಸುತ್ತೆ.	It looks like we got lucky.
ಪ್ರತಿದಿನ ನಾನು ಸುಧಾರಿಸುತ್ತಿದ್ದೇನೆ.	I'm getting better every day.
ಅವಳು ಹದಿವಯಸ್ಸಿನಲ್ಲಿ ಮದುವೆಯಾಗಿದಳು.	She got married in her teens.
ಇದು ಟಾಮಿನ ಕನ್ನಡಕ, ನನ್ನದಿಲ್ಲ.	These are Tom's glasses, not mine.
ನಿಮ್ಮನ್ನು ಸಹಾಯ ಮಾಡುವುದಕ್ಕೆ ಆಶಿಸುತ್ತೇನೆ.	I only wish to help you.
ಟಾಮ್ ಮೇರಿಗೆ ಮನೆಗೆ ಹೋಗುವುದಕ್ಕೆ ಹೇಳಿದನು.	Tom told Mary to go home.
ನಿಜವಾಗಿಯೂ ನಾನು ನಿಮಗೆ ಕ್ಷಮೆ ಕೋರಬೇಕು.	I really owe you an apology.
ಟಾಮಿಗೆ ಯಾರು ಕೊಲೆಗಾರ ಅಂತ ಗೊತ್ತಿತ್ತು.	Tom knew who the killer was.
ನಾವು ಹುಡುಕಾಟವನ್ನು ರದ್ಧುಗೊಳಿಸಬೇಕು.	We should call off the search.
ನಾವು ಸತ್ಯವನ್ನು ಎಲ್ಲಿ ಕಂಡುಹಿಡಿಯಬಹುದು?	Where can we find the truth?
ಅವನು ಠಾಣೆಗೆ ಐದು ಗಂಟೆಗೆ ತಲುಪಿದ.	He arrived at the station at five.
ತಪ್ಪು ಆಗುವುದಕ್ಕೆ ಹೇಗೆ ಸಾಧ್ಯ?	What could possibly have gone wrong?
ಅವನು ನನ್ನ ಅಭಿಪ್ರಾಯವನ್ನು ಸಮ್ಮತಿಸುತ್ತಾನೆ.	He agrees with my opinion.
ನನಗೆ ಏನಾಯಿತು ಅಂತ ನನಗೇನೆ ಗೊತ್ತಿಲ್ಲ.	I don't know what came over me.
ಜೋಡಿ ಇಬ್ಬರು ಫೋಟೋಗೆ ನಿಲ್ಲಿದರು.	The couple posed for the photograph.
ನಾವು ಪ್ರಯತ್ನಿಸದೇ ಬೇಡ ಅಂತ ಸೂಚಿಸುತ್ತೇನೆ.	I suggest we don't even try.
ನೀವೆಲ್ಲ ಬಂದಿದ್ದು ನನಗೆ ತುಂಬಾ ಸಂತೋಷ.	I'm glad you guys could make it.
ನಾವು ಬಿರುಗಾಳಿಯಿಂದ ಸಿಕ್ಕಿಹಾಕಿಕೊಳ್ಳಿದ್ದೆವಿ.	We were caught in a storm.
ಇನ್ನೊಂದು ಪರಿಹಾರವನ್ನು ಸುಚಿಸುತ್ತೀರಾ?	Can you suggest another solution?
ಬೆಂಕಿಯನ್ನು ನಂದಿಸುವುದಕ್ಕೆ ಮರೆಯಬೇಡಿ.	Don't forget to put out the fire.
ಟಮಿನ ಉಪನಾಮ ಏನು ಅಂತ ನಿಮಗೆ ಗೊತ್ತ?	Do you know what Tom's last name is?
ನಾನು ತಪ್ಪು ಮಾಡಿದೆ ಎಂದು ಹೇಳಬೇಕು.	I just want to say that I was wrong.
ನೆನ್ನೆ ರಾತ್ರಿ ನಾನು ಒಂದು ಪುಸ್ತಕವನ್ನು ಓದಿದೆ.	Last night, I read a book.
ನೀವು ಯಾವಾಗಲಾದರೂ ಕಚ್ಚಾ ಮೀನು ತಿಂದಿದ್ದೀರಾ?	Have you ever eaten raw fish?
ಅವಳು ಅವಳ ಕೈಯಲ್ಲಿ ಏನೋ ಇಟ್ಟುಕೊಂಡಿದ್ದಾಳೆ.	She has something in her hand.
ಟಾಮ್ ಬಗ್ಗೆ ಏನೆಲ್ಲಾ ಗೊತ್ತೋ ನಮಗೆ ಹೇಳಿ.	Tell us what you know about Tom.
ಇದನ್ನು ಎಲ್ಲಿ ಸಿಕ್ಕಿತ್ತೋ ಅಲ್ಲೇ ಇಡು.	Put it back where you got it from.
ಅದನ್ನು ಎಂದಿಗೂ ಮಾಡಬೇಡವೆಂದು ನಂಬೋಣ.	Let's hope we never have to do that.
ನಾನು ನಿಮಗೆ ಒಳ್ಳೆಯ ವಕೀಲರನ್ನು ಸೊಚಿಸಬಹುದು.	I can recommend a good lawyer.
ಅದಕ್ಕೆ ಅರ್ಥ ಇದೆ ಎಂದು ನಿಮಗೆ ಅನಿಸುತ್ತಾ?	Do you think it means something?
ನನ್ನನ್ನು ಎಳೆಮಗು ತರಹ ಪರಿಗಣಿಸುತ್ತಾಳೆ.	She treats me as if I were a baby.
ಅಪಘಾತದ ಕಾರಣದಿಂದ ಸಂಚಾರ ಸ್ತಂಭನ ಇತ್ತು.	The accident caused a traffic jam.
ಕೆಲವೊಂದು ಪ್ರಾಣಿಗಳು ಬೆಂಕಿಗೆ ಹೆದರುತ್ತವೆ.	Some animals are afraid of fire.
ನೀವು ಪತ್ರಿಕೆಯನ್ನು ಓದಿ ಮುಗಿಸಿದ್ದೀರಾ?	Are you finished reading the paper?
ಕ್ಷಮಿಸಿ ನಿಮ್ಮ ಕಛೇರಿಗೆ ಬರುವದಕ್ಕೆ ಆಗಲಿಲ್ಲ.	I'm sorry I missed your concert.
ಆ ಕಥೆ ಇನ್ನಷ್ಟು ಹೆಚ್ಚು ಅದ್ಭುತವಾಯಿತು.	The story got more and more exciting.
ಅಪಾಯ ಇರುವುದಕ್ಕೆ ಬಹಳ ಸಾಧ್ಯತೆ ಇದೆ.	It very likely is going to be dangerous.
ನಿಮ್ಮ ಪುಸ್ತಕವನ್ನು ಒಂಬತ್ತನೆಯ ಪುಟಕ್ಕೆ ತೆರೆಯಿರಿ.	Open your book on page nine.
ಒಪ್ಪ೦ದವನ್ನು ನೋಡುವುದಕ್ಕೆ ನಾನು ಇಷ್ಟಪಡುತ್ತೇನೆ.	I'd like to see the agreement.
ಆಹಾರಕ್ಕೆ ತುಂಬಾ ಎಣ್ಣೆ ಇತ್ತು ಅಂತ ಅನಿಸಿತು.	I thought the food was too greasy.
