buenos dias, Juan.	good morning, Juan.
buenos dias a todos.	good morning everyone.
buenos dias, mi amigo.	good morning, my friend.
buenas tardes, señora.	good afternoon, ma'am.
buenas tardes a todos.	good afternoon everyone.
buenas tardes, señor.	good afternoon, sir.
encantado de conocerte, Ana.	nice to meet you, Ana.
estoy encantado de conocerte.	I am nice to meet you.
hola, encantado de conocerte.	hello, nice to meet you.
como estas hoy?	how are you today?
hola, como estas?	hello, how are you?
como estas, mi amigo?	how are you, my friend?
muchas gracias por todo.	thank you very much for everything.
muchas gracias, señor.	thank you very much, sir.
muchas gracias, amiga.	thank you very much, friend.
discúlpeme, ¿donde esta el baño?	excuse me, where is the bathroom?
discúlpeme, ¿como se llama?	excuse me, what is your name?
discúlpeme, no hablo español.	excuse me, I do not speak Spanish.
esta bien, gracias.	okay, thanks.
si, esta bien.	yes, it is okay.
esta bien por mi.	okay by me.
por supuesto que si.	of course yes.
por supuesto, yo voy.	of course, I am going.
si, por supuesto.	yes, of course.
tal vez voy mañana.	maybe I go tomorrow.
tal vez es verdad.	maybe it is true.
tal vez no puedo.	maybe I cannot.
hola, Señorita.	hello, Miss.
buenos dias, Señorita.	good morning, Miss.
la Señorita esta aqui.	the Miss is here.
nos vemos luego.	see you later.
adiós, nos vemos luego.	goodbye, see you later.
nos vemos luego, amigo.	see you later, friend.
cuidate mucho.	take care a lot.
adiós, cuidate.	goodbye, take care.
hola, cuidate.	hello, take care.
que tengas un buen dia.	have a nice day.
adiós, que tengas un buen dia.	goodbye, have a nice day.
amigo, que tengas un buen dia.	friend, have a nice day.
Tengo catorce libros.	I have fourteen books.
Ella tiene catorce años.	She is fourteen years old.
Son catorce gatos aquí.	There are fourteen cats here.
Tengo veintiuno días libres.	I have twenty-one free days.
Son veintiuno puntos hoy.	It is twenty-one points today.
Él tiene veintiuno lápices.	He has twenty-one pencils.
Eso cuesta sesenta euros.	That costs sixty euros.
Tengo sesenta monedas.	I have sixty coins.
Son sesenta minutos ahora.	It is sixty minutes now.
Ella tiene setenta fotos.	She has seventy photos.
Son setenta días totales.	It is seventy total days.
Tengo setenta cartas.	I have seventy letters.
Cuesta noventa pesos.	It costs ninety pesos.
Tengo noventa hojas.	I have ninety sheets.
Son noventa días más.	It is ninety more days.
Él es el sexto hijo.	He is the sixth son.
Es el sexto libro.	It is the sixth book.
Vivo en el sexto piso.	I live on the sixth floor.
Es el séptimo día.	It is the seventh day.
Tengo el séptimo vaso.	I have the seventh glass.
Él es el séptimo invitado.	He is the seventh guest.
Es el noveno gato.	It is the ninth cat.
Llegó el noveno avión.	The ninth plane arrived.
Es el noveno piso.	It is the ninth floor.
Soy el décimo alumno.	I am the tenth student.
Es el décimo libro.	It is the tenth book.
Llegó el décimo perro.	The tenth dog arrived.
Hablamos mas tarde	We will talk later.
Vuelvo mas tarde	I will come back later.
Nos vemos mas tarde	See you later.
El caldo vegetal es rico.	The vegetable broth is tasty.
Quiero un producto vegetal.	I want a vegetable product.
El aceite vegetal es caro.	The vegetable oil is expensive.
El yogur es blanco.	The yogurt is white.
Me gusta el yogur.	I like the yogurt.
Tomo yogur cada día.	I drink yogurt every day.
La merienda es dulce.	The snack is sweet.
¿Dónde está la merienda?	Where is the snack?
Quiero una merienda sana.	I want a healthy snack.
Me duele el pulgar.	My thumb hurts.
El pulgar es corto.	The thumb is short.
Toca con el pulgar.	Touch with the thumb.
El cerebro es grande.	The brain is large.
Cuido mi cerebro.	I take care of my brain.
El cerebro es complejo.	The brain is complex.
La sala de estar es grande.	The living room is large.
Me gusta la sala de estar.	I like the living room.
La sala de estar es blanca.	The living room is white.
El balcón es muy pequeño.	The balcony is very small.
Estoy en el balcón.	I am on the balcony.
El balcón tiene flores.	The balcony has flowers.
El patio es muy bonito.	The yard is very pretty.
El perro está en el patio.	The dog is in the yard.
Tengo un patio grande.	I have a large yard.
El fregadero es nuevo.	The sink is new.
Limpio el fregadero hoy.	I clean the sink today.
El fregadero es gris.	The sink is gray.
El búfalo es muy grande.	The buffalo is very big.
Veo un búfalo aquí.	I see a buffalo here.
El búfalo corre rápido.	The buffalo runs fast.
El gallo canta mucho.	The rooster sings a lot.
Un gallo es rojo.	A rooster is red.
Mira el gallo.	Look at the rooster.
El canguro salta alto.	The kangaroo jumps high.
Un canguro vive allá.	A kangaroo lives over there.
Veo el canguro gris.	I see the gray kangaroo.
El panda come bambú.	The panda eats bamboo.
Un panda es blanco.	A panda is white.
El panda es lento.	The panda is slow.
El águila vuela alto.	The eagle flies high.
Veo el águila real.	I see the golden eagle.
El águila es grande.	The eagle is big.
El gobernante es muy fuerte.	The ruler is very strong.
Un gobernante justo es bueno.	A just ruler is good.
El oficial de policia ayuda.	The police officer helps.
Busco al oficial de policia.	I am looking for the police officer.
Necesito vestirse rápido.	I need to get dressed quickly.
Ellos prefieren vestirse tarde.	They prefer to get dressed late.
El cepillo es azul.	The brush is blue.
Busca el cepillo aquí.	Look for the brush here.
Vete a la cama ahora.	Go to bed now.
Por favor, vete a la cama.	Please, go to bed.
Es un día laborable.	It is a weekday.
No trabajo el día laborable.	I do not work the weekday.
Es el precio habitual.	It is the usual price.
Tengo mi rutina habitual.	I have my usual routine.
Tengo mucho frio.	I am very cold.
El invierno es frio.	The winter is cold.
El camino es brumoso.	The path is foggy.
El cielo está brumoso.	The sky is foggy.
Escucho el trueno.	I hear the thunder.
El trueno es fuerte.	The thunder is loud.
Mira el relámpago.	Look at the lightning.
El relámpago es rápido.	The lightning is fast.
El arcoiris es lindo.	The rainbow is pretty.
Veo un arcoiris.	I see a rainbow.
El pronóstico es malo.	The forecast is bad.
Leo el pronóstico.	I read the forecast.
El agua puede congelar.	The water can freeze.
El frio puede congelar.	The cold can freeze.
Voy al centro comercial.	I am going to the mall.
El centro comercial es grande.	The mall is big.
Puedes probarte el vestido.	You can try on the dress.
Quieres probarte los zapatos.	You want to try on the shoes.
Mi estado de ánimo es bueno.	My mood is good.
Tiene un estado de ánimo triste.	He has a sad mood.
Es una emoción fuerte.	It is a strong emotion.
No siento esa emoción.	I do not feel that emotion.
Él está pescando ahora.	He is fishing now.
Estamos pescando en el lago.	We are fishing in the lake.
La tableta es nueva.	The tablet is new.
Tengo una tableta gris.	I have a gray tablet.
La clínica está abierta.	The clinic is open.
Busco la clínica dental.	I am looking for the dental clinic.
Tengo un dolor de muelas.	I have a toothache.
El dolor de muelas es malo.	The toothache is bad.
El frio es intenso.	The cold is intense.
Necesito un chequeo médico.	I need a medical check-up.
El chequeo es rápido.	The check-up is fast.
La prescripción es clara.	The prescription is clear.
Leo la prescripción médica.	I read the medical prescription.
El tratamiento es largo.	The treatment is long.
Busco un tratamiento nuevo.	I am looking for a new treatment.
La vacuna es necesaria.	The vaccine is necessary.
Necesito una vacuna hoy.	I need a vaccine today.
Quiero sentirse mejor pronto.	I want to feel better soon.
Puedes sentirse mejor ahora.	You can feel better now.
La oficina de correos está abierta.	The post office is open.
Voy a la oficina de correos.	I am going to the post office.
El templo es muy antiguo.	The temple is very old.
Busco el templo de oro.	I am looking for the golden temple.
La mezquita es blanca.	The mosque is white.
Visito la mezquita hoy.	I visit the mosque today.
El dibujo es un cuadrado.	The drawing is a square.
Busco la plaza del cuadrado.	I am looking for the square plaza.
La plataforma es muy grande.	The platform is very large.
Subo a la plataforma ahora.	I am getting on the platform now.
El atasco de tráfico es terrible.	The traffic jam is terrible.
Odio el atasco de tráfico.	I hate the traffic jam.
El trafico es muy lento.	The traffic is very slow.
No me gusta el trafico.	I do not like the traffic.
La fecha límite es mañana.	The deadline is tomorrow.
Tengo una fecha límite hoy.	I have a deadline today.
Él quiere una promoción pronto.	He wants a promotion soon.
La promoción es muy buena.	The promotion is very good.
Quiero aplicar para el trabajo.	I want to apply for the job.
Debes aplicar ahora mismo.	You must apply right now.
Mi currículum es muy largo.	My resume is very long.
Envía tu currículum por correo.	Send your resume by email.
Es una responsabilidad muy grande.	It is a very big responsibility.
Tengo mucha responsabilidad aquí.	I have a lot of responsibility here.
Mi lugar de trabajo es pequeño.	My workplace is small.
Me gusta mi lugar de trabajo.	I like my workplace.
El empleador es muy amable.	The employer is very kind.
Busco un nuevo empleador.	I am looking for a new employer.
El conocimiento es poder.	Knowledge is power.
Busco más conocimiento.	I seek more knowledge.
La conferencia es hoy.	The lecture is today.
Me gusta la conferencia.	I like the lecture.
Él es un graduado.	He is a graduate.
Soy graduado en arte.	I am a graduate in art.
La investigación es lenta.	The research is slow.
Hago una investigación.	I am doing research.
Mi tutor es amable.	My tutor is kind.
Busco a mi tutor.	I am looking for my tutor.
Tengo mi diploma.	I have my diploma.
El diploma es nuevo.	The diploma is new.
La educación es importante.	Education is important.
Quiero una buena educación.	I want a good education.
Es una tradicion bonita.	It is a pretty tradition.
La tradicion es vieja.	The tradition is old.
Es un regalo personalizado.	It is a personalized gift.
Quiero un plan personalizado.	I want a personalized plan.
Los mercados locales son buenos.	The local markets are good.
Busco productos locales.	I am looking for local products.
Es un punto de referencia.	It is a landmark.
Busco el punto de referencia.	I am looking for the landmark.
El templo es grande.	The temple is large.
Visito el templo hoy.	I visit the temple today.
Quiero explorar la ciudad.	I want to explore the city.
Vamos a explorar el bosque.	Let's explore the forest.
Cuidamos el medio ambiente.	We take care of the environment.
El medio ambiente es importante.	The environment is important.
Hay mucha contaminación aquí.	There is a lot of pollution here.
La contaminación es mala.	Pollution is bad.
Debemos reciclar el papel.	We must recycle the paper.
Me gusta reciclar.	I like to recycle.
Los residuos son basura.	The waste is trash.
Recoge los residuos.	Pick up the waste.
No uses más plastico.	Do not use more plastic.
El plastico es malo.	Plastic is bad.
El invernadero es grande.	The greenhouse is large.
Voy al invernadero.	I am going to the greenhouse.
La vida silvestre es bella.	The wildlife is beautiful.
Protejamos la vida silvestre.	Let's protect the wildlife.
Los paneles solares funcionan.	The solar panels work.
Tengo rayos solares.	I have solar rays.
La energía es renovable.	The energy is renewable.
Es un recurso renovable.	It is a renewable resource.
El carbono está aquí.	The carbon is here.
El ciclo del carbono.	The carbon cycle.
La emisión es alta.	The emission is high.
Evita la emisión de gas.	Avoid the emission of gas.
Este jabón es ecológico.	This soap is eco-friendly.
Es un producto ecológico.	It is an eco-friendly product.
Mi teléfono inteligente es nuevo.	My smartphone is new.
El teléfono inteligente es caro.	The smartphone is expensive.
La aplicación es gratis.	The app is free.
Uso una aplicación.	I use an app.
La pantalla es pequeña.	The screen is small.
Limpia la pantalla.	Clean the screen.
Quiero descargar el juego.	I want to download the game.
Puedes descargar la foto.	You can download the photo.
Tengo un correo electrónico.	I have an email.
Escribe el correo electrónico.	Write the email.
Estoy fuera de línea.	I am offline.
El sistema está fuera de línea.	The system is offline.
El mouse es inalámbrico.	The mouse is wireless.
Busco un teclado inalámbrico.	I am looking for a wireless keyboard.
El software es lento.	The software is slow.
Instala el software.	Install the software.
El hardware es viejo.	The hardware is old.
Tengo el hardware.	I have the hardware.
Haga clic aquí.	Click here.
Haga clic en el botón.	Click on the button.
Uso las redes sociales.	I use social media.
No me gustan las redes sociales.	I don't like social media.
Tengo relojes digitales.	I have digital watches.
Los datos son digitales.	The data are digital.
Mi telefono es rojo.	My phone is red.
¿Donde esta el telefono?	Where is the phone?
El anfitrión es muy amable.	The host is very kind.
¿Quién es el anfitrión hoy?	Who is the host today?
Puede depender del clima.	It can depend on the weather.
No debe depender de él.	It should not depend on him.
Quiero llevarse bien con todos.	I want to get along with everyone.
El titular es muy corto.	The headline is very short.
Leí el titular hoy.	I read the headline today.
Quieren transmitir el juego.	They want to broadcast the game.
Puedes transmitir la señal.	You can broadcast the signal.
Veo las redes sociales.	I check the social media.
El anuncio es rojo.	The advertisement is red.
Veo un anuncio aquí.	I see an advertisement here.
La audiencia es grande.	The audience is large.
La audiencia está callada.	The audience is quiet.
Son noticias de última hora.	It is breaking news.
Leí las noticias de última hora.	I read the breaking news.
Quiero publicar el libro.	I want to publish the book.
Ella puede publicar la foto.	She can publish the photo.
El lugar es publico.	The place is public.
Es un transporte publico.	It is public transport.
Tengo un hábito bueno.	I have a good habit.
Es un hábito común.	It is a common habit.
El plato es equilibrado.	The plate is balanced.
Busco un plan equilibrado.	I am looking for a balanced plan.
Tengo un estilo de vida activo.	I have an active lifestyle.
Es un estilo de vida sano.	It is a healthy lifestyle.
Hago yoga por la mañana.	I do yoga in the morning.
Me gusta el yoga.	I like yoga.
