హాయ్, మీరు ఎలా ఉన్నారు?	Hi, how are you?
హాయ్, నా పేరు రవి.	Hi, my name is Ravi.
అందరికీ శుభోదయం.	Good morning to everyone.
మీకు శుభోదయం.	Good morning to you.
అందరికీ శుభ మధ్యాహ్నం.	Good afternoon to everyone.
మీకు శుభ మధ్యాహ్నం.	Good afternoon to you.
అందరికీ శుభ సాయంత్రం.	Good evening to everyone.
మీకు శుభ సాయంత్రం.	Good evening to you.
మీకు శుభరాత్రి.	Good night to you.
అందరికీ శుభరాత్రి.	Good night to everyone.
మీకు వీడ్కోలు.	Goodbye to you.
అందరికీ వీడ్కోలు.	Goodbye to everyone.
మిమ్మల్ని కలవడం ఆనందంగా ఉంది.	Nice to meet you.
మీతో మాట్లాడటం మరియు మిమ్మల్ని కలవడం ఆనందంగా ఉంది.	It is a pleasure talking and nice to meet you.
నువ్వు ఎలా ఉన్నావు?	How are you?
అమ్మా, మీరు ఎలా ఉన్నావు?	Mom, how are you?
సహాయానికి ధన్యవాదాలు.	Thank you for the help.
మీకు ధన్యవాదాలు.	Thank you to you.
మీకు చాలా ధన్యవాదాలు.	Thank you very much to you.
సహాయానికి చాలా ధన్యవాదాలు.	Thank you very much for the help.
మీకు స్వాగతం.	You're welcome.
మా ఇంటికి మీకు స్వాగతం.	You're welcome to our home.
నన్ను క్షమించండి.	Sorry/Please forgive me.
ఆ పొరపాటుకు క్షమించండి.	Sorry for that mistake.
నన్ను క్షమించు, నేను ఆలస్యమయ్యాను.	Excuse me, I am late.
దయచేసి నన్ను క్షమించు.	Please excuse me.
మా ఊరికి మీకు స్వాగతం.	Welcome to our village.
అవును, నేను వస్తాను.	Yes, I will come.
అవును, ఇది నిజం.	Yes, this is true.
సరే, మనం వెళ్దాం.	Okay, let's go.
అవును, సరే.	Yes, okay.
అది కోర్సు యొక్క భాగం.	That is part of the course.
ఈ పుస్తకం కోర్సు యొక్కది.	This book belongs to the course.
నేను ఖచ్చితంగా వస్తాను.	I will definitely/sure come.
అవును, ఖచ్చితంగా.	Yes, sure.
బహుశా రేపు వర్షం పడవచ్చు.	Maybe it will rain tomorrow.
అతను బహుశా వస్తాడు.	Maybe he will come.
అతను నా స్నేహితుడు.	He is my friend.
నాకు ఒక మంచి స్నేహితుడు ఉన్నాడు.	I have a good friend.
అతను మంచి వ్యక్తి.	He is a good person.
ఆ వ్యక్తి ఎక్కడ ఉన్నాడు?	Where is that person?
ఇక్కడ చాలా ప్రజలు ఉన్నారు.	There are many people here.
మంచి ప్రజలు సహాయం చేస్తారు.	Good people help.
అతను ఒక తెలివైన మనిషి.	He is a clever man.
ఆ మనిషి ఎక్కడ ఉన్నాడు?	Where is that man?
ఆమె ఒక చిన్న అమ్మాయి.	She is a small girl.
ఈ అమ్మాయి చాలా తెలివైనది.	This girl is very clever.
శ్రీమతి లక్ష్మి వస్తున్నారు.	Mrs Lakshmi is coming.
ఆమె శ్రీమతి గీత.	She is Mrs Geetha.
మిస్ ప్రియ ఇక్కడ ఉన్నారు.	Miss Priya is here.
ఆమె మిస్ స్వాతీ.	She is Miss Swati.
సార్, నాకు ఒక ప్రశ్న ఉంది.	Sir, I have a question.
మీరు ఎలా ఉన్నారు సార్?	How are you sir?
మేడం, ఇది మీ పుస్తకమా?	Madam, is this your book?
మేడం, దయచేసి చూడండి.	Madam, please look.
ప్రియమైన అమ్మకు నమస్కారం.	Greetings to dear mother.
