سعدت بلقائك يا صديقي	It was nice to meet you, my friend.
سعدت بلقائك اليوم	Nice to meet you today.
شكرا جزيلا لك على المساعدة	Thank you very much for the help.
شكرا جزيلا لك يا أستاذي	Thank you very much, my teacher.
على الرحب والسعة يا أخي	You're welcome, my brother.
على الرحب والسعة دائما	You're welcome always.
مرحبا بكم في بيتي	Welcome to my home.
مرحبا بكم في المدينة	Welcome to the city.
كيف حالك يا سيدتي؟	How are you, madam?
أنا هنا يا سيدتي	I am here, madam.
كيف حالك يا عزيزي؟	How are you, my dear?
هذا كتاب لك يا عزيزي	This is a book for you, my dear.
أتمنى لك يوما سعيدا غدا	I wish you a nice day tomorrow.
أتمنى لك يوما سعيدا في العمل	I wish you a nice day at work.
عندي اثني عشر كتابا	I have twelve books.
الساعة الآن اثني عشر	The time now is twelve.
عمره ثلاثة عشر عاما	His age is thirteen years.
قرأت ثلاثة عشر صفحة	I read thirteen pages.
في الفصل أربعة عشر طالبا	There are fourteen students in the class.
أريد أربعة عشر قلما	I want fourteen pens.
عمره خمسة عشر عاما	His age is fifteen years.
عندي خمسة عشر درهما	I have fifteen dirhams.
في البيت واحد وعشرون كرسيا	There are twenty-one chairs in the house.
عمره واحد وعشرون عاما	His age is twenty-one years.
سعر الكتاب سبعون درهما	The book's price is seventy dirhams.
عمره الآن سبعون عاما	His age now is seventy years.
سعر القلم تسعون قرشا	The pen's price is ninety qirshs.
عمره الآن تسعون عاما	His age now is ninety years.
وصل محمد ثانيا	Mohammed arrived second.
جاء علي ثانيا	Ali came second.
كان الترتيب ثالثا	The order was third.
وقف الولد ثالثا	The boy stood third.
سأتصل بك في وقت لاحق	I will call you later.
نلتقي في وقت لاحق	We meet later.
استيقظت في وقت مبكر	I woke up early.
وصل القطار في وقت مبكر	The train arrived early.
أولاً القهوة ثانيا الشاي	First coffee second tea.
سأخبرك ثانيا	I will tell you second.
هذا هو الموسم المفضل	This is the favorite season.
انتهى الموسم الآن	The season ended now.
شروق الشمس جميل جدا	The sunrise is very beautiful.
ننتظر شروق الشمس	We are waiting for the sunrise.
الأجداد يحبون الأطفال	The grandparents love the children.
سافرت مع الأجداد	I traveled with the grandparents.
الزوج في العمل	The husband is at work.
هذا هو الزوج المثالي	This is the perfect husband.
ابن أخ يزورنا اليوم	A nephew is visiting us today.
أحب ابن أخ الصغير	I love my little nephew.
ابنة الاخ تلعب هنا	The niece is playing here.
هذه ابنة الاخ الذكية	This is the smart niece.
الحفيد يقرأ كتابا	The grandson is reading a book.
جاء الحفيد من المدرسة	The grandson came from school.
حفيدة صغيرة في البيت	A small granddaughter is in the house.
هذه حفيدة طيبة	This is a kind granddaughter.
أفضل صديق يساعدني دائما	A best friend always helps me.
أين أفضل صديق لك؟	Where is your best friend?
الجار يسكن بجانبي	The neighbour lives next to me.
سلمت على الجار	I greeted the neighbour.
الأشقاء يسكنون معا	The siblings live together.
أين هم الأشقاء؟	Where are the siblings?
التوأم يشبهان بعضهما	The twin look like each other.
هذا هو التوأم الأول	This is the first twin.
أحب عصير مانجو	I love mango juice.
هذه مانجو حلوة	This is a sweet mango.
أحب الفراولة	I love strawberries.
الفراولة حمراء	The strawberry is red.
أنا أكره الثوم	I hate garlic.
هذا الثوم قوي	This garlic is strong.
أكلت جزرة واحدة	I ate one carrot.
هذه جزرة برتقالية	This is an orange carrot.
أريد زبادي طازج	I want fresh yogurt.
الزبادي مفيد جدا	Yogurt is very useful.
أريد وجبة خفيفة	I want a snack.
هذه وجبة خفيفة	This is a snack.
الفم صغير	The mouth is small.
أفتح الفم	I open the mouth.
اللسان طويل	The tongue is long.
هذا اللسان أحمر	This tongue is red.
الذقن هنا	The chin is here.
ألم في الذقن	Pain in the chin.
الرقبة طويلة	The neck is long.
ألم في الرقبة	Pain in the neck.
هذا الاصبع طويل	This finger is long.
ألم في الاصبع	Pain in the finger.
الإبهام قوي	The thumb is strong.
أين الإبهام؟	Where is the thumb?
المعصم نحيف	The wrist is thin.
كسر في المعصم	A break in the wrist.
ألم في الكوع	Pain in the elbow.
هذا الكوع كبير	This elbow is big.
الركبة تؤلمني	The knee hurts me.
أين الركبة؟	Where is the knee?
اصبع القدم صغير	The toe is small.
ألم في اصبع القدم	Pain in the toe.
الكاحل قوي	The ankle is strong.
التواء في الكاحل	A sprain in the ankle.
الصدر واسع	The chest is wide.
ألم في الصدر	Pain in the chest.
المعدة تؤلمني	The stomach hurts me.
أين المعدة؟	Where is the stomach?
الدماغ كبير	The brain is big.
الدماغ مهم	The brain is important.
الورك يؤلمني	The hip hurts me.
كسر في الورك	A break in the hip.
شارب طويل	A long moustache.
هذا شارب جميل	This is a beautiful moustache.
جبهته واسعة	His forehead is wide.
لمس جبهته	He touched his forehead.
غرفة المعيشة كبيرة جدا	The living room is very big.
أنا في غرفة المعيشة	I am in the living room.
هذا جدار أبيض	This is a white wall.
الجدار قديم هنا	The wall is old here.
الشرفة واسعة وجميلة	The balcony is spacious and beautiful.
أجلس في الشرفة	I sit on the balcony.
هذه بطانية دافئة	This is a warm blanket.
أريد بطانية جديدة	I want a new blanket.
الجدول صغير هنا	The table is small here.
وضعت الكتاب على الجدول	I put the book on the table.
هذه خزانة خشبية	This is a wooden cupboard.
الخزانة في المطبخ	The cupboard is in the kitchen.
خزانة الملابس ممتلئة	The wardrobe is full.
أفتح خزانة الملابس	I open the wardrobe.
هذا مصباح قديم	This is an old lamp.
المصباح على الطاولة	The lamp is on the table.
ستارة الغرفة حمراء	The room curtain is red.
أغلق الستارة الآن	Close the curtain now.
