ہیلو، آپ کیسے ہیں؟	Hello, how are you?
ہیلو، میرا نام علی ہے۔	Hello, my name is Ali.
ہیلو، کیا حال ہے؟	Hello, how is it going?
ہیلو، آپ کون ہیں؟	Hello, who are you?
صبح بخیر، آپ کیسے ہیں؟	Good morning, how are you?
صبح بخیر، ایک کپ چائے۔	Good morning, one cup of tea.
دوپہر بخیر، آپ کا کیا حال ہے؟	Good afternoon, how are you?
دوپہر بخیر، کیا سب ٹھیک ہے؟	Good afternoon, is everything okay?
اب الوداع، اپنا خیال رکھنا۔	Goodbye now, take care of yourself.
الوداع، ہم پھر ملیں گے۔	Goodbye, we will meet again.
آپ سے مل کر خوشی ہوئی۔	Nice to meet you.
ہمیں آپ سے مل کر خوشی ہوئی۔	We are nice to meet you.
آپ کیسے ہیں، صاحب؟	How are you, sir?
آپ کیسے ہیں، میڈم؟	How are you, madam?
براہ مہربانی، میری مدد کریں۔	Please, help me.
براہ مہربانی، یہاں آئیں۔	Please, come here.
آپ کا بہت بہت شکریہ، دوست۔	Thank you very much, friend.
آپ کا بہت بہت شکریہ، بھائی۔	Thank you very much, brother.
آپ کا استقبال ہے۔، شکریہ۔	You're welcome, thank you.
آپ کا استقبال ہے۔، کوئی بات نہیں۔	You're welcome, it's no problem.
معاف کیجئے گا، آپ کون ہیں؟	Excuse me, who are you?
معاف کیجئے گا، کیا وقت ہوا ہے؟	Excuse me, what time is it?
خوش آمدید، ہمارے گھر میں۔	Welcome to our home.
آپ سب کو خوش آمدید۔	Welcome to you all.
یقینا، یہ بہت اچھا ہے۔	Of course, this is very good.
یقینا، میں آؤں گا۔	Of course, I will come.
میں یقینی طور پر آؤں گا۔	I will surely come.
کیا آپ یقینی طور پر تیار ہیں؟	Are you surely ready?
مسز خان یہاں ہیں۔	Mrs. Khan is here.
مسز علی ایک ڈاکٹر ہیں۔	Mrs. Ali is a doctor.
صاحب، آپ کا فون ہے۔	Sir, you have a phone call.
احمد صاحب کہاں ہیں؟	Where is Mr. Ahmed?
میڈم، کیا میں اندر آ سکتا ہوں؟	Madam, may I come in?
میڈم، آپ کی چائے تیار ہے۔	Madam, your tea is ready.
پیارے دوست، آپ کیسے ہیں؟	Dear friend, how are you?
میرے پیارے بچوں، ادھر آؤ۔	My dear children, come here.
بعد میں ملتے ہیں، اللہ حافظ۔	See you later, Allah Hafiz.
ہم بعد میں ملتے ہیں۔	We see you later.
اپنا خیال رکھنا، خدا حافظ۔	Take care, goodbye.
آپ سب اپنا خیال رکھنا۔	You all take care.
آپ کا دن اچھا گزرے۔	Have a nice day.
امید ہے آپ کا دن اچھا گزرے۔	Hope you have a nice day.
الوداع، اپنا خیال رکھنا۔	Bye, take care.
اب الوداع، پھر ملیں گے۔	Bye, we will meet again.
یہ صفر ہے	This is zero.
اس کا درجہ صفر ہے	Its degree is zero.
میرے پاس تیرہ قلم ہیں	I have thirteen pens.
تیرہ دن باقی ہیں	Thirteen days are left.
چودہ لوگ یہاں ہیں	Fourteen people are here.
اس کی عمر چودہ سال ہے	His age is fourteen years.
پندرہ منٹ انتظار کریں	Wait for fifteen minutes.
پندرہ آم لے لو	Take fifteen mangoes.
وہ سترہ سال کا ہے	He is seventeen years old.
میرے پاس سترہ روپے ہیں	I have seventeen rupees.
اٹھارہ کھلاڑی میدان میں ہیں	Eighteen players are in the field.
اس کے پاس اٹھارہ کتابیں ہیں	He has eighteen books.
انیس صفحات پڑھیں	Read nineteen pages.
انیس دن بعد آئیں	Come after nineteen days.
اکیس دن گزر گئے	Twenty-one days have passed.
وہ اکیس سال کا ہے	He is twenty-one years old.
اس کی قیمت چالیس روپے ہے	Its price is forty rupees.
چالیس لوگ آئے	Forty people came.
پچاس روپے دے دیں	Give fifty rupees.
وہ پچاس سال کا ہے	He is fifty years old.
ساٹھ منٹ ایک گھنٹہ ہے	Sixty minutes is one hour.
ساٹھ لوگ وہاں تھے	Sixty people were there.
اس کی عمر اسّی سال ہے	His age is eighty years.
اسّی صفحات کی کتاب ہے	It is an eighty page book.
نوے دن باقی ہیں	Ninety days are left.
نوے روپے لے لو	Take ninety rupees.
دوسرا کمرہ بڑا ہے	The second room is big.
دوسرا لڑکا کہاں ہے	Where is the second boy?
تیسرا نمبر میرا ہے	The third number is mine.
تیسرا دن مشکل تھا	The third day was difficult.
چوتھا دروازہ بند ہے	The fourth door is closed.
وہ چوتھا شخص ہے	He is the fourth person.
پانچویں منزل پر جائیں	Go to the fifth floor.
پانچویں کلاس کی کتاب	The fifth class book.
چھٹا رنگ اچھا ہے	The sixth color is good.
چھٹا بچہ رو رہا ہے	The sixth child is crying.
ساتویں گلی میں مڑیں	Turn in the seventh street.
ساتویں منزل پر دفتر ہے	The office is on the seventh floor.
نویں منزل پر جائیں	Go to the ninth floor.
نویں کلاس کے طالب علم	Students of the ninth class.
دسویں دن چھٹی ہے	The tenth day is a holiday.
دسویں منزل بہت اونچی ہے	The tenth floor is very high.
مجھے آدھا گلاس پانی دیں	Give me half a glass of water.
یہ آدھا کیلا ہے	This is half a banana.
یہ موزوں کی جوڑی ہے	This is a pair of socks.
ایک جوڑی جوتے لاؤ	Bring a pair of shoes.
ستاروں کا شمار ناممکن ہے	Counting the stars is impossible.
گینوں کا شمار کریں	Count the beads.
آدھی رات کو سب سوتے ہیں۔	Everyone sleeps at midnight.
آدھی رات کا وقت ہو گیا۔	It has become midnight.
ایک گھنٹہ انتظار کریں۔	Wait for one hour.
یہ گھنٹہ بہت لمبا تھا۔	This hour was very long.
دوسرا لڑکا یہاں ہے۔	The second boy is here.
دوسرا راستہ کہاں ہے؟	Where is the second path?
آج کی تاریخ کیا ہے؟	What is today's date?
تاریخ لکھ لیں۔	Write down the date.
ہم ہفتے کے آخر میں ملتے ہیں۔	We meet at the weekend.
ہفتے کے آخر میں چھٹی ہوتی ہے۔	There is a holiday at the weekend.
ایک مہینہ باقی ہے۔	One month is left.
یہ مہینہ بہت گرم ہے۔	This month is very hot.
موسم بہار بہت خوبصورت ہے۔	Spring is very beautiful.
موسم بہار میں پھول کھلتے ہیں۔	Flowers bloom in spring.
موسم گرما میں گرمی ہوتی ہے۔	It is hot in summer.
مجھے موسم گرما پسند ہے۔	I like summer.
خزاں کے پتے گرتے ہیں۔	Autumn leaves fall.
خزاں کا موسم آگیا۔	The autumn season has arrived.
موسم سرما میں ٹھنڈ ہوتی ہے۔	It is cold in winter.
موسم سرما کے کپڑے پہنیں۔	Wear winter clothes.
منگل کو میٹنگ ہے۔	There is a meeting on Tuesday.
آج منگل کا دن ہے۔	Today is Tuesday.
