#NAME?	#NAME?
(1) (Japanese) maple	(1) (ஜப்பானிய) மேப்பிள்
(1) aunt; (2) middle-aged lady	(1) aunt; (2) நடுத்தர வயது பெண்
(1) chapter; section; (2) medal	(1) அத்தியாயம்; பிரிவு; (2) பதக்கம்
(1) coincidence; agreement; (2) conformity	(1) தற்செயல்; ஒப்பந்தம்; (2) இணக்கம்
(1) complete; completion; (2) perfection; accomplishment	(1) முழுமையானது; நிறைவு; (2) பரிபூரணம்; சாதனை
(1) connection; union; join; link; (2) changing trains	(1) இணைப்பு; தொழிற்சங்கம்; சேருங்கள்; இணைப்பு; (2) ரயில்களை மாற்றுதல்
(1) dear; beloved; darling; (2) yearned for	(1) அன்பே; காதலி; அன்பே; (2) ஏங்கியது
(1) defect; demerit; weak point; (2) disadvantage	(1) குறைபாடு; குறைபாடு; பலவீனமான புள்ளி; (2) பாதகம்
(1) draft (beer); (2) raw; unprocessed	(1) வரைவு (பீர்); (2) raw; பதப்படுத்தப்படாத
(1) farm (livestock); (2) pasture land; meadow; grazing land	(1) பண்ணை (கால்நடை); (2) மேய்ச்சல் நிலம்; புல்வெளி; மேய்ச்சல் நிலம்
(1) flower arrangement	(1) மலர் ஏற்பாடு
(1) gold; (2) gold general (shogi) (abbr)	(1) தங்கம்; (2) தங்க ஜெனரல் (ஷோகி) (ஏபிஆர்)
(1) horse; (2) promoted bishop (shogi)	(1) குதிரை; (2) பதவி உயர்வு பெற்ற பிஷப் (ஷோகி)
(1) idea; notion; conception; (2) sense (e.g. of duty)	(1) யோசனை; கருத்து; கருத்தரித்தல்; (2) உணர்வு (எ.கா. கடமை)
(1) left and right; (2) influence; control; domination	(1) இடது மற்றும் வலது; (2) செல்வாக்கு; கட்டுப்பாடு; ஆதிக்கம்
(1) line; procession; (2) matrix (math)	(1) வரி; ஊர்வலம்; (2) அணி (கணிதம்)
(1) mark; (2) symbol; (3) evidence	(1) குறி; (2) சின்னம்; (3) சான்று
(1) mouse; rat; (2) dark gray; slate color	(1) சுட்டி; எலி; (2) அடர் சாம்பல்; ஸ்லேட் நிறம்
(1) on the other hand; (2) meanwhile; (3) only; simple; in turn	(1) மறுபுறம்; (2) இதற்கிடையில்; (3) மட்டும்; எளிய; இதையொட்டி
(1) one day; (2) first of month	(1) ஒரு நாள்; (2) மாதத்தின் முதல்
(1) one object; one body; (2) what on earth?; really?; (3) generally	(1) one object; ஒரு உடல்; (2) என்ன பூமியில்?; உண்மையில்?; (3) பொதுவாக
(1) order; precedence; (2) circumstances; (3) immediate(ly)	(1) ஒழுங்கு; முன்னுரிமை; (2) சூழ்நிலைகள்; (3) உடனடியாக(லி)
(1) organization; (2) structure; construction; (3) tissue; (4) system	(1) அமைப்பு; (2) கட்டமைப்பு; கட்டுமானம்; (3) திசு; (4) அமைப்பு
(1) origin; original; (2) former	(1) தோற்றம்; அசல்; (2) முன்னாள்
(1) pine tree; (2) highest (of a three-tier ranking system)	(1) பைன் மரம்; (2) மிக உயர்ந்தது (மூன்று அடுக்கு தரவரிசை அமைப்பில்)
(1) player (in game); (2) team	(1) வீரர் (விளையாட்டில்); (2) அணி
(1) remodeling; (2) modding (comp)	(1) மறுவடிவமைப்பு; (2) மாற்றியமைத்தல் (தொகுப்பு)
(1) request; commission; dispatch; (2) dependence; trust	(1) கோரிக்கை; கமிஷன்; அனுப்புதல்; (2) சார்பு; நம்பிக்கை
(1) seed; (2) material; (3) cause; source	(1) விதை; (2) பொருள்; (3) காரணம்; ஆதாரம்
(1) service; duty; (2) Buddhist religious services	(1) சேவை; கடமை; (2) புத்த மத சேவைகள்
(1) service; duty; business; responsibility; task; (2) Buddhist religious services	(1) சேவை; கடமை; வணிகம்; பொறுப்பு; பணி; (2) புத்த மத சேவைகள்
(1) silver; silver coin; silver paint	(1) வெள்ளி; வெள்ளி நாணயம்; வெள்ளி வண்ணப்பூச்சு
(1) string; cord; (2) pimp	(1) சரம்; தண்டு; (2) பிம்ப்
(1) strong point; merit; (2) advantage	(1) வலுவான புள்ளி; தகுதி; (2) நன்மை
(1) time; hour; (2) occasion; moment	(1) நேரம்; மணிநேரம்; (2) சந்தர்ப்பம்; கணம்
(1) to adopt (measure; proposal); (2) to pick (fruit)	(1) ஏற்றுக்கொள்ள (அளவிட; முன்மொழிவு); (2) எடுக்க (பழம்)
(1) to appear; to attend (2) to exit	(1) தோன்றுவதற்கு; கலந்து கொள்ள (2) வெளியேற
(1) to appear; to come in sight; to become visible; (2) to express oneself	(1) தோன்றுவது; பார்வைக்கு வர; காணக்கூடியதாக மாற; (2) தன்னை வெளிப்படுத்த
(1) to attach; to join; to add; to append	(1) இணைக்க; சேர; சேர்க்க; இணைக்க
(1) to avoid (physical contact ); (2) to ward off; to avert	(1) தவிர்க்க (உடல் தொடர்பு ); (2) வார்டு ஆஃப்; தவிர்க்க
(1) to be finished; to be ready; by definition; (2) to be very drunk	(1) முடிக்க வேண்டும்; தயாராக இருக்க வேண்டும்; வரையறை மூலம்; (2) மிகவும் குடிபோதையில் இருக்க வேண்டும்
(1) to be fixed; (2) to abide; to stay (in the one place)	(1) சரி செய்யப்பட வேண்டும்; (2) தங்கியிருத்தல்; தங்க (ஒரே இடத்தில்)
