Va !	Go.
Salut.	Hi.
Qui ?	Who?
Wah !	Wow!
Marche.	Go.
Bouge !	Go.
Salut !	Hi.
File !	Run!
Aha.	I see.
Cours !	Run!
Filez !	Run!
Fuyez !	Run!
Waouh !	Wow!
Saute.	Jump!
Stop !	Stop!
Courez !	Run!
Fuyons !	Run!
Tire !	Shoot!
Aha !	Got it!
En route !	Go.
Au feu !	Fire!
Attends.	Wait.
Tirez !	Shoot!
Pigé ?	Got it?
Monte.	Hop in.
Ça va.	I'm OK.
Vrai ?	Really?
Merci.	Thanks.
Sors.	Get out!
Ciao.	Goodbye!
Ça alors !	Wow!
À terre !	Duck!
Attends !	Wait!
Attendez.	Wait!
Bonjour.	Hello.
Oh non !	Oh no!
Relaxe !	Relax.
Pardon ?	Sorry?
Santé !	Cheers!
Merci !	Cheers!
Expire.	Exhale.
Debout.	Get up.
Montez.	Hop in.
Essaie.	Try it.
Essaye.	Try it.
Pars !	Beat it.
Oust !	Beat it.
Entre.	Come in.
Sors !	Get out!
Ouvre.	Open up.
Pars.	Get away.
Fuis.	Run away.
Bien.	Terrific!
À l'aide !	Help!
Cache-toi.	Hide.
Attendez !	Wait!
Commence.	Begin.
Poursuis.	Go on.
Bonjour !	Hello!
J'essaye.	I try.
Du calme.	Relax.
Souriez !	Smile.
Souriez !	Smile.
Je sais.	I know.
Je nage.	I swim.
Inspire.	Inhale.
Ah bon ?	Really?
Essayez.	Try it.
Génial.	Awesome.
Dégage.	Beat it.
Entre !	Come in.
Allez !	Come on!
Viens !	Come on!
Venez !	Come on!
Allez !	Come on.
Sortez.	Get out!
Recule.	Go back.
Adieu !	Goodbye!
Je pue.	I stink.
J'irai.	I'll go.
Tue-le.	Kill it.
Tue-la.	Kill it.
À plus.	See you.
Vas-y.	Go ahead!
Fiça !	Hurry up.
Fuyez.	Run away.
Ça suffit !	Stop!
Commencez.	Begin.
Continuez.	Go on.
Calme-toi.	Relax.
Du calme !	Relax.
Attaque !	Attack!
Mange-le.	Eat it.
Lève-toi.	Get up.
Compris !	Got it!
Compris ?	Got it?
J'ai fui.	I fled.
Je payai.	I paid.
Je passe.	I pass.
J'arrête.	I quit.
Écoutez !	Listen.
Mon œil !	No way!
Dégage !	Beat it.
Entrez !	Come in.
Entrez !	Come in.
Allons !	Come on!
Plie-le.	Fold it.
Plie-la.	Fold it.
Sortez !	Get out!
Sortez !	Get out!
Dégage !	Get out!
Je fume.	I smoke.
Tuez-le.	Kill it.
Tuez-la.	Kill it.
Au sol !	Lie low.
Nickel !	Perfect!
On sait.	We know.
Partez.	Get away.
Vas-y !	Go ahead!
Bravo !	Good job!
Super !	Terrific!
Tenez.	Hold this.
Hein ?	Pardon me?
Chat !	You're it!
Baisse-toi !	Duck!
Au secours !	Help!
Cachez-vous.	Hide.
Arrête-toi !	Stop!
Poursuivez.	Go on.
J’ai gagné.	I won.
Tranquille.	Relax.
Attaquez !	Attack!
Mangez-le.	Eat it.
Lève-toi !	Get up.
Je chasse.	I hunt.
Je partis.	I left.
Je sortis.	I left.
Je payais.	I paid.
J’ai payé.	I paid.
Vraiment ?	Really?
Vraiment ?	Really?
On essaye.	We try.
Sensass !	Awesome!
