Geh.	Go.
Hallo!	Hi.
Lauf!	Run!
Aha.	I see.
Feuer!	Fire!
Hilfe!	Help!
Bleib!	Stay.
Stopp!	Stop!
Warte!	Wait!
Warte.	Wait.
Sers!	Hello!
Aha!	Got it!
Echt?	Really?
Grüß Gott!	Hi.
Zu Hülf!	Help!
Tue es.	Do it.
Schieß!	Shoot!
Danke!	Thanks!
Komm!	Come on!
Raus!	Get out!
Anhalten!	Stop!
Fang an.	Begin.
Schnell!	Hurry!
Lächeln!	Smile.
Kauf’s!	Buy it.
Iss es.	Eat it.
Kommt!	Come on!
Wozu?	What for?
Potzdonner!	Wow!
Mache es!	Do it.
Oh, Nein!	Oh no!
Angriff!	Attack!
Attacke!	Attack!
Iss auf.	Eat up.
Iss auf!	Eat up.
Kapiert?	Got it?
Er lief.	He ran.
Hört zu.	Listen.
Hau ab!	Beat it.
Herein!	Come in.
Er kam.	He came.
Tom aß.	Tom ate.
Wer aß?	Who ate?
Zum Wohl!	Cheers!
Ausatmen!	Exhale.
Mach mit!	Hop in.
Ich fiel.	I fell.
Ich weiß.	I know.
Ich sang.	I sang.
Einatmen!	Inhale.
Wirklich?	Really?
Im Ernst?	Really?
Geh weg!	Beat it.
Hol Tom.	Get Tom.
Tschüss!	Goodbye!
Töte es!	Kill it.
Perfekt!	Perfect!
Hör auf.	Stop it.
Nimm es.	Take it.
Runter!	Get down!
Nur zu!	Go ahead!
Unsinn!	Nonsense!
Donnerwetter!	Wow!
Kopf runter!	Duck!
Beeil dich!	Hurry!
Ich rannte.	I ran.
Frag mich!	Ask me.
Geh jetzt!	Go now.
Ich hab’s!	Got it!
Er rannte.	He ran.
Ich passe.	I pass.
Unmöglich!	No way!
Versuch’s!	Try it.
Warum ich?	Why me?
Frag Tom!	Ask Tom.
Frag Tom.	Ask Tom.
Sei fair!	Be fair.
Sei nett!	Be kind.
Verdufte!	Beat it.
Zisch ab!	Beat it.
Geh raus.	Get out.
Geh heim.	Go home.
Leb wohl!	Goodbye!
Er rennt.	He runs.
Er läuft.	He runs.
Hilf mir.	Help me.
Hilf uns!	Help us.
Ich fuhr!	I drove.
Ich fror.	I froze.
Ich gehe.	I'll go.
Komm mit.	Join us.
Hinlegen!	Lie low.
Ich auch.	Me, too.
Mir auch.	Me, too.
Öffne es!	Open it.
Mach auf!	Open up.
Sag „Ah!“	Say aah.
Zeig her.	Show me.
Nehmt es.	Take it.
Wach auf!	Wake up!
Wie süß!	How cute!
Quatsch!	Nonsense!
Sie kam.	She came.
Tom kam.	Tom came.
Tom log.	Tom lied.
Zu spät.	Too late.
Wer kam?	Who came?
Hör zu.	Listen up.
Na und?	Then what?
Bade!	Take a bath.
Mach weiter.	Go on.
Fragt mich!	Ask me.
Iss fertig!	Eat up.
Verstanden!	Got it!
Verstanden?	Got it?
Drück mich!	Hug me.
Ich zahlte.	I paid.
Ich weinte.	I wept.
Ich bin 19.	I'm 19.
Fragt Tom!	Ask Tom.
Pack dich!	Beat it.
Geht raus!	Get out!
Helft uns!	Help us.
Drück Tom!	Hug Tom.
Ich bin’s.	It's me!
Kommt mit.	Join us.
Behalt es!	Keep it.
Öffnet es!	Open it.
Zieh dran.	Pull it.
Warte mal!	Wait up.
Du läufst.	You run.
Frag sie.	Ask them.
Hilf Tom!	Help Tom.
Wie tief?	How deep?
Mach hin!	Hurry up.
Ich half.	I helped.
Auf, auf!	Let's go!
Vorsicht!	Look out!
Blödsinn!	Nonsense!
Steh auf.	Stand up.
Nimm Tom.	Take Tom.
Tom fiel.	Tom fell.
Tom ging.	Tom left.
Tom lügt.	Tom lies.
Tom sang.	Tom sang.
Wer fiel?	Who fell?
Hol das.	Grab that.
Na klar!	Of course!
Dongsche	Thank you.
Badet!	Take a bath.
Egal.	I don't care.
Versteck dich!	Hide.
Ich verstehe.	I see.
Spring rein!	Hop in.
Umarme mich!	Hug me.
Ich stürzte.	I fell.
Ich kündige.	I quit.
Ich spuckte.	I spit.
Ich bin auf.	I'm up.
Zieh Leine!	Beat it.
Troll dich!	Beat it.
Schwirr ab!	Beat it.
Mach schon!	Come on!
Komm schon!	Come on.
