Salut, ça va ?	Hi, how is it going?
Salut à tous !	Hi everyone!
Bonsoir, monsieur.	Good evening, sir.
Bonsoir, je suis là.	Good evening, I am here.
Ravi de vous rencontrer, Pierre.	Nice to meet you, Pierre.
Je suis ravi de vous rencontrer.	I am nice to meet you.
Comment vas-tu aujourd'hui ?	How are you today?
Dis-moi, comment vas-tu ?	Tell me, how are you?
Merci beaucoup pour l'aide.	Thank you very much for the help.
Merci beaucoup, c'est gentil.	Thank you very much, that is kind.
Tu es le bienvenu ici.	You're welcome here.
Tu es le bienvenu chez moi.	You're welcome at my place.
Excuse-moi, où est le café ?	Excuse me, where is the cafe?
Excuse-moi, je suis en retard.	Excuse me, I am late.
Voici Mme Martin.	Here is Mrs. Martin.
Bonjour, Mme Legrand.	Hello, Mrs. Legrand.
Mademoiselle Julie est ici.	Miss Julie is here.
Bonjour, Mademoiselle.	Hello, Miss.
Merci, madame.	Thank you, madam.
Oui, madame, je sais.	Yes, madam, I know.
À plus tard, Marc.	See you later, Marc.
On se voit à plus tard.	We will see each other later.
Prends soin de toi, ami.	Take care, friend.
Prends soin de toi demain.	Take care tomorrow.
Passe une bonne journée !	Have a nice day!
S'il vous plaît, passe une bonne journée.	Please, have a nice day.
J'ai douze ans.	I am twelve years old.
Il y a douze œufs.	There are twelve eggs.
Il a quatorze ans.	He is fourteen years old.
Nous avons quatorze jours.	We have fourteen days.
Le prix est quinze euros.	The price is fifteen euros.
Elle a quinze ans.	She is fifteen years old.
Il y a dix-neuf chats.	There are nineteen cats.
J'ai dix-neuf livres.	I have nineteen books.
Il a vingt et un ans.	He is twenty-one years old.
Le livre a vingt et un chapitres.	The book has twenty-one chapters.
Cela coûte quarante euros.	That costs forty euros.
Il y a quarante jours.	There are forty days.
J'ai soixante dix ans.	I am seventy years old.
Il a soixante dix livres.	He has seventy books.
C'est quatre vingt euros.	It is eighty euros.
Il a quatre vingt ans.	He is eighty years old.
Le prix est quatre vingt dix euros.	The price is ninety euros.
Il a quatre vingt dix ans.	He is ninety years old.
C'est la cinquième porte.	It is the fifth door.
Je suis le cinquième.	I am the fifth.
C'est la sixième page.	It is the sixth page.
Il est le sixième.	He is the sixth.
C'est la huitième rue.	It is the eighth street.
Je suis la huitième.	I am the eighth.
C'est la neuvième heure.	It is the ninth hour.
Il est le neuvième.	He is the ninth.
C'est la dixième fois.	It is the tenth time.
Je suis le dixième.	I am the tenth.
J'ai une paire de chaussures.	I have a pair of shoes.
Où est la paire?	Where is the pair?
Lundi, je vais au cinéma.	Monday, I am going to the cinema.
C'est Lundi aujourd'hui.	It is Monday today.
Le lever du soleil est beau.	The sunrise is beautiful.
Regardez le lever du soleil.	Look at the sunrise.
Le coucher de soleil est rouge.	The sunset is red.
J'aime le coucher de soleil.	I love the sunset.
Ma soeur est petite.	My sister is small.
J'aime ma soeur.	I love my sister.
Mes grands-parents sont vieux.	My grandparents are old.
Voici mes grands-parents.	Here are my grandparents.
C'est mon petit-fils.	This is my grandson.
Le petit-fils est ici.	The grandson is here.
Ma petite-fille est mignonne.	My granddaughter is cute.
Elle est ma petite-fille.	She is my granddaughter.
Ce relatif est loin.	This relative is far.
Un relatif arrive demain.	A relative arrives tomorrow.
Mon camarade de classe est gentil.	My classmate is kind.
Je vois mon camarade de classe.	I see my classmate.
J'ai des frères et sœurs.	I have siblings.
Mes frères et sœurs sont grands.	My siblings are big.
Je mange un oeuf.	I am eating an egg.
