అద్భుతం!	Wonderful!
తప్పకుండా	Definitely!
మేము ఎవరము ?	Who are we?
అభినందనలు	Congratulations!
అతను పెట్టేసాడు	He hung up.
కోపమొచ్చిందా ?	Are you mad?
అతను మా అబ్బాయి	He's my son.
వాళ్ళు మృగాలు	They're animals.
నీ కలం ఏది ?	Which is your pen?
అతను నన్ను తాకాడు	He touched me.
నేను కాఫీ తాగాను	I drank coffee.
ఆమె ఎంత పొడుగు ?	How tall is she?
నేను ఇంటికి పరిగెత్తాను	I ran home.
నేను అంగీకరించను	I don't accept it.
వాళ్ళు పోలీసులు.	They're policemen.
నా తల నొప్పిపుడుతుంది	My head hurts.
పెట్టె లో ఏముంది?	What's in the box?
నువ్వు అది చూసావా ?	Can you see that?
వొంట్లో ఎలా వుంది	Are you feeling OK?
నాకు కాఫీ ఇష్టం లేదు	I dislike coffee.
అది నా తప్పు కాదు.	It wasn't my fault.
అది చాలా విలువైనది	It's very valuable.
ఆమె వైద్యురాలు కాదు	She's not a doctor.
నాకు అది తట్టింది	I've thought of that.
ఇంకేమి మిగల్లేదు	There was nothing left.
నేనూ తప్పులు చేస్తాను	I do make mistakes.
నేను టామ్‌ను చూడాలి.	I've got to see Tom.
టామ్ చాలా భయపడ్డాడు.	Tom was very scared.
నాకు ఏమీ అవసరంలేదు.	I don't need anything.
నేను వాడిని నమ్మను	I don't trust that guy.
నీ గది అంకె ఎంత ?	What's your room number?
వాళ్లెవరు రాలేదు	None of them are present.
నాకు మళ్ళా ఆకలి వేస్తుంది	I'm hungry again.
నువ్వు ఎలా వస్తున్నావ్?	How are you coming?
నువ్వు ఏమి తీసుకుంటావ్?	What will you have?
ఇది ఒక వాక్యం కాదు.	This is not a sentence.
ఇదంతా నీ తప్పు కాదు	It's not all your fault.
నువ్వు ఏం చెప్తున్నావు ?	What are you saying?
నేను ఇంకేం కోల్పోతాను ?	What else can I lose?
మీరిద్దరూ సంగీతకారులా?	Are you two musicians?
స్టేషన్ దగ్గర్లో వుంది	The station is nearby.
నేను జపనీస్ మాట్లాడను	I don't speak Japanese.
నేను మాట్లాడటం మొదలుపెట్టాను	I began to speak.
మేము వినాలని అనుకుంటున్నాం	We want to hear it.
ఆమె బల్ల మీద కూర్చుంది .	She sat on the bench.
నీకు బాగోలేదని విన్నాను	I heard you were sick.
ఆమె భయంతో తెల్లబోయింది	She was pale with fear.
టామ్ గుహలోకి వెళ్ళాడు.	Tom went into the cave.
డబ్బాలు అక్కడ పెట్టు	Put the boxes over there.
మీ అబ్బాయి ఎక్కడ వున్నాడు ?	Where was your son?
నాకు గంట మోగటం వినపడింది	I heard the bell ring.
మనం ఆ అవకాశం తీసుకుందాం	Let's take that chance.
దయచేసి ఇంకొంచం కాఫీ ఇవ్వరా.	More coffee, please.
ఎవరు గెలిచారో నాకు తెలియదు	I don't know who won.
అది నిజంగా అంత చెడ్డదా ?	Was it really that bad?
పని దాదాపుగా అయిపోయింది	The work is almost done.
మేము అది కావాలని చేశాం	We did that deliberately.
మళ్ళీ ఎప్పుడు వస్తావు?	When will you next visit?
నీ పళ్ళు రోజూ తోముకో	Brush your teeth every day.
సహాయం చాలా ఆలస్యముగా వచ్చింది	Help came too late.
నేను చాలా జాగ్రత్తగా ఉంటాను	I'll be very careful.
నువ్వు అది చెయ్యమని నా సలహా	I suggest you do that.
తను ఇప్పుడు ఇంటి దగ్గర లేదు	She's not at home now.
నేను ఈసారికి వదిలేస్తాను	I'll let it go this time.
నువ్వు ఒక్కసారిగా రావాలి	You have to come at once.
ఇది నన్ను చాలా బాధ పెట్టింది	This made me very sad.
నేను ఒక ఫోన్ చేసుకోవచ్చా ?	Can I make a phone call?
ఇదంతా నిజంగా జరిగిందా ?	Did all this really happen?
మాకు ఫ్రెంచి అర్ధం కాదు	We don't understand French.
ఇది ఒక అద్భుతమైన ఫీచర్	This is a wonderful feature.
నా పని లో అడ్డు రాకు.	Don't interfere with my work.
అతను తన మాట నిలబెట్టుకోలేదు	He didn't keep his word.
నువ్వు చాల త్వరగా వచ్చావు	You've arrived very early.
జాగ్రత్తగా చూస్తున్నావా?	Are you watching carefully?
అది అంత సులభం ఏం కాదు	It actually isn't that simple.
పొగ తాగడం ఎప్పుడు ఆపేశావ్?	When did you quit smoking?
నా పుస్తకం ఎక్కడ పెట్టావ్?	Where did you put my book?
మేము రోజుల తరబడి నిద్రపోలేదు	We haven't slept in days.
అది అంత తేలిక కాదు, తెలుసా	That wasn't easy, you know.
ముసలివాళ్లు నెమ్మదిగా నడుస్తారు	Old people walk slowly.
చలనచిత్రం మొదలు అవ్వబోతుంది	The movie's about to start.
పసిపాప పాల కోసం ఏడుస్తుంది	The baby is crying for milk.
ఆమె చల్ల గాలి పీల్చింది .	She breathed in the cold air.
నువ్వు చాలా సంతోషంగా ఉన్నట్లున్నావ్	You seem very happy.
మీరు ఎందుకు రావాలనుకుంటున్నారు?	Why do you want to come?
మధ్యతరగతి అవస్థపడుతుంది.	The middle class is struggling.
నాకు టామ్‌ను భయపెట్టాలని లేదు.	I don't want to scare Tom.
చూపుకి వెలుపల​, మనసుకి వెలుపల​	Out of sight, out of mind.
