ನಮಸ್ಕಾರ, ನೀವು ಹೇಗಿದ್ದೀರಾ?	Hello, how are you?
ಎಲ್ಲರಿಗೂ ನಮಸ್ಕಾರ.	Hello to everyone.
ನಮಸ್ತೆ, ನನ್ನ ಹೆಸರು ರಾಜು.	Hi, my name is Raju.
ನಮಸ್ತೆ, ನೀವು ಯಾರು?	Hi, who are you?
ನಿಮಗೆ ಶುಭೋದಯ.	Good morning to you.
ಶುಭೋದಯ, ಕಾಫಿ ಕುಡಿಯಿರಿ.	Good morning, drink coffee.
ನಿಮಗೆ ಶುಭ ಮಧ್ಯಾಹ್ನ.	Good afternoon to you.
ಶುಭ ಮಧ್ಯಾಹ್ನ, ನೀವು ಹೇಗಿದ್ದೀರಾ?	Good afternoon, how are you?
ಎಲ್ಲರಿಗೂ ಶುಭ ಸಂಜೆ.	Good evening to all.
ನಿಮಗೆ ಶುಭ ಸಂಜೆ.	Good evening to you.
ಶುಭ ರಾತ್ರಿ, ಚೆನ್ನಾಗಿ ನಿದ್ರಿಸಿ.	Good night, sleep well.
ನಿಮಗೂ ಶುಭ ರಾತ್ರಿ.	Good night to you too.
ನಾನು ಈಗ ಹೋಗುತ್ತೇನೆ, ವಿದಾಯ.	I will go now, goodbye.
ಎಲ್ಲರಿಗೂ ವಿದಾಯ.	Goodbye to everyone.
ನಿಮ್ಮನ್ನು ಭೇಟಿಯಾಗಲು ಸಂತೋಷವಾಗಿದೆ.	Nice to meet you.
ನಿಮ್ಮನ್ನು ಭೇಟಿಯಾಗಲು ಸಂತೋಷವಾಗಿದೆ, ಗೆಳೆಯ.	Nice to meet you, friend.
ನೀವು ಹೇಗಿದ್ದೀಯ?	How are you?
ಅಮ್ಮ, ನೀವು ಹೇಗಿದ್ದೀಯ?	Mom, how are you?
ದಯವಿಟ್ಟು ಇಲ್ಲಿ ಬನ್ನಿ.	Please come here.
ದಯವಿಟ್ಟು ನೀರು ಕೊಡಿ.	Please give water.
ಸಹಾಯಕ್ಕೆ ಧನ್ಯವಾದಗಳು.	Thank you for the help.
ನಿಮಗೆ ಧನ್ಯವಾದಗಳು.	Thank you to you.
ನಮಗೆ ತುಂಬಾ ಧನ್ಯವಾದಗಳು.	Thank you very much to us.
ಸಹಾಯಕ್ಕೆ ತುಂಬಾ ಧನ್ಯವಾದಗಳು.	Thank you very much for the help.
ನಿಮಗೆ ಸ್ವಾಗತ.	You are welcome.
ನಮ್ಮ ಮನೆಗೆ ನಿಮಗೆ ಸ್ವಾಗತ.	You are welcome to our house.
