سلام۔	Hi.
مدد۔	Help!
شکریہ۔	Thanks.
!چلو	Let's go!
پہت خوب۔	Good job!
ہم جیت گئے۔	We won.
بھاگ جائو۔	Beat it.
کیسا ہے؟	How is it?
ہم ہار گئے۔	We lost.
پتلی رہو۔	Stay thin.
پتلے رہو۔	Stay thin.
شب بخیر۔	Good night.
دفعہ ہو جائو۔	Beat it.
ہم جیتے گے۔	We'll win.
ٹام موٹا ہے۔	Tom's fat.
ٹام اداس یے۔	Tom's sad.
ٹام تیز ہے۔	Tom's fast.
شام بخیر۔	Good evening.
صبح بخير۔	Good morning.
اور پڑھو۔	Keep reading.
آگے پڑھو۔	Keep reading.
موٹی نہ ہونا۔	Stay thin.
موٹے نہ ہونا۔	Stay thin.
ٹام ناراض ہے۔	Tom's mad.
ہم نے بات کی۔	We talked.
ٹام بہرہ ہے۔	Tom's deaf.
ٹام آذاد ہے۔	Tom's free.
ٹام ادھر ہے۔	Tom's here.
ٹام زخمی ہے۔	Tom's hurt.
ٹام ٹھیک ہے۔	Tom's well.
تم کیسی ہو؟	How are you?
ٹام غلط ہے۔	Tom's wrong.
ہم ناچے گے۔	We'll dance.
پڑھتے رہو۔	Keep reading.
ٹام اٹھ چکا ہے۔	Tom's up.
میں بیمار ہوں۔	I am sick.
ٹام شرمیلا ہے۔	Tom's shy.
ٹام محفوظ ہے۔	Tom's safe.
ٹام بیمار ہے۔	Tom's sick.
ٹام کمزور ہے۔	Tom's weak.
آپ کیسے ہو ؟	How are you?
آپ کیسی ہیں؟	How are you?
ٹام صحیص ہے۔	Tom's right.
ٹام عجیب ہے۔	Tom's weird.
ٹام جوان ہے۔	Tom's young.
سب کھائو۔	Eat everything.
ہم کوشش کرے گے۔	We'll try.
کیا ہو رہا ہیں؟	What's up?
ٹام مر چکا ہے۔	Tom's dead.
ٹام مر گیا ہے۔	Tom's died.
ٹام گھر پہ ہے۔	Tom's home.
ہم مدد کرے گے۔	We'll help.
سب کو سلام۔	Hi, everybody.
تم ٹھیک ہو؟	You all right?
سب کھا لو۔	Eat everything.
کیا تم ٹھیک ہو؟	Are you OK?
ٹام چلا گیا ہے۔	Tom's gone.
ہم رقص کرے گے۔	We'll dance.
یہ پیو۔	Take a sip of this.
مجھ پر بھروسہ کرو۔	Trust me!
مجھے اندر آنے دو۔	Let me in.
میں گھر پہ ہوں۔	I'm at home.
کیا یہ سفید ہے؟	Is it white?
ٹام نشہ میں ہے۔	Tom's drunk.
ٹام عقل مند ہے۔	Tom's smart.
زندگی مشکل ہے۔	Life is hard.
ٹام طاقتور ہے۔	Tom's strong.
یہ دیکھو۔	Hey, look at this.
آئیے ہم کوشش کریں!	Let's try!
ہم انتظار کرے گے۔	We'll wait.
چلو یہ کرتے ہیں۔	Let's do it.
ٹام تھکا ہوا ہے۔	Tom's tired.
آرام سے کام کرو۔	Work slowly.
میرا ہاتھ پکڑو۔	Grab my hand.
ٹام ڈرا ہوا ہے۔	Tom's scared.
اسے فورا٘ کرو۔	Do it at once.
جلدی واپس آنا۔	Don't be long.
چھوڑ دو اسے۔	Leave it behind.
مجھے چائے پسند ہے۔	I like tea.
مجھے روک پسند ہے۔	I love rock.
میرا ہاتھ تھامو۔	Grab my hand.
میں نہیں جانتا ۔	I don't know.
میں بہت گرم ہوں۔	I'm very hot.
نیا سال مبارک۔	Happy New Year!
تم بدل گئے ہو۔	You've changed.
کتاب بند کرو۔	Close your book.
میں معلم تھا۔	I was a teacher.
آگ بجھ گئی۔	The fire went out.
مجھے تم سے پیار ہے۔	I love you.
مجھے نیند آ رہی ہے۔	I'm sleepy.
آپ کا کیا حال ہے ؟	How are you?
میں یہاں رہتا ہوں۔	I live here.
میں ادھر رہتا ہوں۔	I live here.
شاید بارش ہو جائے۔	It may rain.
میں ہل نہیں سکتا۔	I can't move.
یہ بہت بڑا ہے۔	This is too big.
مجھے آپ کی ضرورت ہے۔	I need you.
میں کتا رکھتا ہوں۔	I keep a dog.
میں نہیں ہاروں گا۔	I won't lose!
مجھے کال مت کرنا۔	Don't call me.
ٹام پھنسا ہوا ہے۔	Tom's trapped.
تم کیا کرتے ہو ؟	What do you do?
مایوس نہ ہونا۔	Don't lose heart.
تم مجھے بتائو۔	You must tell me.
کتاب سفید ہے۔	The book is white.
درخت گر گیا۔	The tree fell down.
یہ دیکھیں۔	Take a look at these.
مجھے تمھاری ضرورت ہے۔	I need you.
چلو اسے ازماتے ہیں۔	Let's try it.
مجھے کافی پسند ہے۔	I like coffee.
مجھے کھیل پسند ہے۔	I like sports.
کيسا چل رہا ہے ؟	How is it going?
یہ بہت زیارہ ہے۔	This is too big.
حوصلہ مت کھونا۔	Don't lose heart.
مجھے کیک چاہیئے	I want some cake.
بڑی مہربانی۔	Thank you very much.
وہاں دیکھو۔	Take a look in there.
مجھے خماری چڑھ رہی ہے۔	I'm sleepy.
مجھے مدد کی ضرورت ہے۔	I need help.
مجھے تم پر بھروسہ ہے۔	I trust you.
شاید برفباری ہو جائے۔	It may snow.
زیارہ دیر نہ لگانا۔	Don't be long.
میں طلاق یافتہ ہوں۔	I am divorced.
مجھے فلمیں پسند ہے۔	I love movies.
یہ کام نہیں کرے گا۔	It won't work.
وہ سستا لگتا تھا۔	It looked cheap.
میں گھر میں ہوں۔	I'm in the house.
ٹام نے مریم کو دیکھا۔	Tom saw Mary.
میری طلاق ہو چکی ہے۔	I am divorced.
مجھے انڈے پسند نہیں	I dislike eggs.
مجھے دودھ چاہئیے۔	I want some milk.
آپ کیا بناتے ہو ؟	What do you make?
تم مجھے یہ بتائو۔	You must tell me.
تم حقیقت پسند ہو۔	You're realistic.
آپ حقیقت پسند ہے۔	You're realistic.
وہ بھاگا کیوں؟	Why did he run away?
غلطی نہ کرنا۔	Don't make a mistake.
قصور میرا ہے۔	I'm the one to blame.
میں اس سے پیار کرتا ہوں۔	I love her.
میں تم سے محبت کرتا ہوں۔	I love you.
وہ میری عزت کرتا ہے۔	He respects me.
مجھے تیراکی پسند ہے۔	I like to swim.
وہ عقلمند لڑکا ہے۔	He's a smart boy.
مجھے تلاش مت کرو۔	Don't look for me.
مجھے مزہ آرہا ہے۔	I'm enjoying this.
میری کم عقلی تھی۔	I've been foolish.
وہ اس طرف گئی ہے۔	She went that way.
تم فارغ کب ہو گے؟	When are you free?
برف پگھل رہی ہے۔	The ice is melting.
اس نے الٹا کیا۔	He did the opposite.
آج بہت گرمی ہے۔	It's very hot today.
یہ گھر خالی ہے۔	The house is vacant.
یہ لوگ کون ہے؟	Who are those people?
مجھے کوئی پڑوا نہیں ہے۔	I don't care.
میں ایک طالب علم ہوں۔	I am a student.
آپ کو تیرنا نہیں آتا۔	You can't swim.
تمہیں تیرنا نہیں آتا۔	You can't swim.
یہ ظہرانے کا وقت ہے۔	It's lunch time.
اس نے نظریں جھکا لی۔	She looked away.
ہمیں یہ کرنا چاہئیے۔	We should do it.
کیا سب کچھ ٹھیک ہے؟	Is everything OK?
تمہیں پیسے چاہیئے؟	Do you want money?
آپ کو پیسے چاہیئے؟	Do you want money?
مجھے تلاش مت کرنا۔	Don't look for me.
آپ فارغ کب ہوں گے؟	When are you free?
یہ اچھا سودا ہے۔	It's a real bargain.
گیارہ بج گئے ہے۔	It's already eleven.
مجھے کچھ دن دو۔	Give me a day or two.
ٹام سے پوچھ لو۔	Go ahead and ask Tom.
اونچا بولو۔	Please speak more loudly.
مجھے کوئی فرق نہیں پڑتا۔	I don't care.
زنگی پھولوں کا سیج نہیں۔	Life is hard.
مجھے ایک آئڈیا آیا تھا۔	I had an idea.
ٹام تم سے نفرت کرتا ہے۔	Tom hates you.
ٹام آپ سے نفرت کرتا ہے۔	Tom hates you.
تمہیں تیراکی نہیں آتی۔	You can't swim.
تم بیواقوف لگ رہے ہو۔	You look stupid.
کافی تیز بارش ہوئی۔	A heavy rain fell.
تم کیسے کر رہے ہو ؟	How are you doing?
میں نیا سٹوڈنٹ ہوں۔	I'm a new student.
میں ہی بیواقوف تھا۔	I've been foolish.
قیمتیں بڑھ رہی ہیں۔	Prices are rising.
تم ایک اچھے بچے ہو۔	You're a good boy.
ایک محافظ باہر ہے۔	A guard is outside.
یہ کارآمد نہیں ہے۔	It's not practical.
تم کیا کر رہے ہو ؟	What are you doing?
وہ میرے دوست ہیں۔	They are my friends.
تمھیں ٹکٹ چاہیے؟	Do you want a ticket?
وہ ایک جھوٹ تھا۔	It was all a big lie.
میں سٹوڈنٹ ہوں۔	I'm a college student.
جلدی جواب دو۔	Come on, answer quickly.
زور سے بولو۔	Please speak more loudly.
میں ابھی بھی مصروف ہوں۔	I'm still busy.
تم تیراکی نہیں کر سکتے۔	You can't swim.
کیا کوئی فرق پڑتا ہے؟	Does that matter?
تم یہاں بیٹھ سکتے ہو۔	You may sit here.
آپ یہاں بیٹھ سکتے ہے۔	You may sit here.
میں انکار نہ کر سکا۔	I couldn't refuse.
میں انکار نہ کر سکی۔	I couldn't refuse.
وہ مجھے نہیں معلوم ۔	I don't know that.
ٹام ناخوش لگ رہا ہے۔	Tom looks unhappy.
ٹام خوش نہیں لگ رہا۔	Tom looks unhappy.
مجھے کیا کہنا چاہیے؟	What should I say?
کافی کچھ ہو گیا ہے۔	A lot has happened.
کیا یہ میرا وہم ہے؟	Am I seeing things?
کیا تم جلدی میں ہو؟	Are you in a hurry?
میں سنگاپور سے ہوں۔	I'm from Singapore.
روشنی کو بند کر دو۔	Turn off the light.
اس کے اندر دیکھو۔	Take a look in there.
اس نے آج کیا کیا؟	What did he do today?
مسلہ ہو جائے گا۔	There'll be a problem.
تمہیں مجھے بتانا ہوگا۔	You must tell me.
اس نے سب کچھ جیت لیا۔	He won everything.
مجھے ابھی فورا بھیجو۔	Send it to me now.
ٹام نے پیزہ آرڈر کیا۔	Tom ordered pizza.
روشنی کو بند کر دیں۔	Turn off the light.
میں نے بھی جانا ہے۔	I'd like to go, too.
وہ میری سہلیاں ہیں۔	They are my friends.
کوئی غلطی نہ کرنا۔	Don't make a mistake.
مجھے یہ نہیں یاد۔	I don't remember that.
تم کیا کرو گے؟	What are you going to do?
ٹام بوریت کا شکار ہو رہا ہے۔	Tom's bored.
مجھے کام کرنے سے نفرت ہے۔	I hate working.
وہ کافی جوان دکھ رہی ہے۔	She looks young.
ٹیکسی انتظار کر رہی ہے۔	A cab is waiting.
میری چابی گم ہو گئی ہے۔	I've lost my key.
کونسے دانت میں درد ہے؟	Which tooth hurts?
یہاں گند مچا ہوا ہے۔	It's a mess in here.
ہمیں یہ کام کرنا ہے۔	We have a job to do.
بہت بڑا دن گزرا آج۔	I've had a lousy day.
میرا سر پھٹ رہا ہے۔	My head is exploding.
وہ فورا مان گیا۔	He readily agreed to it.
کتنی ٹیمیں ہیں؟	How many teams are there?
آواز اونچی کرو۔	Please speak more loudly.
آپ کیا کریں گے؟	What are you going to do?
میں اپنی پوری کوشش کرتا ہوں۔	I do my best.
مجھے کوئی اندازہ نہیں ہے ۔	I have no idea.
آئو ٹام کا شکریہ ادا کرے۔	Let's thank Tom.
تمہیں بڑی زور کی لگی ہے۔	You got hit hard.
آپ کو بڑی زور کی لگی ہے۔	You got hit hard.
میں جلدی داپس آجاؤنگا ۔	I'll be back soon.
ایک بچہ گُم ہو گیا ہے۔	A child is missing.
ہم ظہرانہ کھا رہے ہیں۔	We're having lunch.
یہ زندگی کی حقیقت ہے۔	It's a fact of life.
چند دن کی چھٹی لے لو۔	Take a few days off.
پیانو کافی مہنگا ہے۔	A piano is expensive.
الزام مجھے دیا جائے۔	I'm the one to blame.
میں کوئی ۱ میل چلا۔	I walked about 1 mile.
ٹام کی عینک ٹوٹ گئ۔	Tom broke his glasses.
ٹام ابھی اناڑی ہے۔	Tom is only a beginner.
ہمیں ٹھنڈ نہیں لگ رہی تھی۔	We weren't cold.
مجھے نفرت ہے اُس کتاب سے۔	I hate that book.
میں نے اس سے پوچھ لیا ہے۔	I have asked him.
ٹام کی اب طبیعت کیسی ہے؟	How does Tom feel?
لکڑی آرام سے جل جاتی ہے۔	Woods burn easily.
میں ابھی واپس آجاؤنگا ۔	I'll be right back.
اس میں کافی خامیاں ہے۔	She has many faults.
وہ سکون سے رہ رہا ہے۔	He lives comfortably.
ٹام ایک امیر آدپی ہے۔	Tom is a wealthy man.
انہیوں نے آج کیا کیا؟	What did he do today?
وہ بینک کے اندر گیا۔	He went into the bank.
وہ ان کی کتابیں ہیں۔	Those are their books.
میں استاد ہوتا تھا۔	I used to be a teacher.
سارے ڈبے خالی ہیں۔	All the boxes are empty.
مجھے لغت لا کے دو۔	Bring me the dictionary.
ان کے تین بچے ہے۔	They have three children.
میں نے بھاگنے کی کوشش کی۔	I tried to escape.
مجھے کتوں سے ڈر لگتا ہے۔	I'm afraid of dogs.
ہم سارے کافی زیادہ روئے۔	We all cried a lot.
تم نے مجھے ڈھونڈا کیسے؟	How did you find me?
آپ نے مجھے ڈھونڈا کیسے؟	How did you find me?
ابھی بھی دیر نہیں ہوئی۔	It's never too late.
مجھے ایک قرض چکانا ہے۔	I have a debt to pay.
